ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
379A,Global X S&P 500 ETF (Dynamic Protection),29804.0,135000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,SPDR PORTFOLIO S&P 500 ETF,US78464A8541,XNYS,USD,8925,89.74
,nan,CASHUSDJPY01,,USD,344556.61,0.006283775
,SP500 MIC EMIN FUTSep26,,CME,USD,9.0,7662.5
