Fund Holdings as of,"2026/08/20"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2360","CHROMA ATE INC","Information Technology","Equity","159,300,876.62","1.21","159,300,876.62","2,534,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"2345","ACCTON TECHNOLOGY","Information Technology","Equity","145,245,808.33","1.10","145,245,808.33","2,305,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"USD","USD CASH","Cash and/or Derivatives","Cash","143,618,297.66","1.09","143,618,297.66","747,006.00","-","United States","-","JPY","-","USD"
"AKAM","AKAMAI TECHNOLOGIES INC","Information Technology","Equity","142,844,876.92","1.08","142,844,876.92","1,334,100.00","-","United States","NASDAQ","JPY","-","USD"
"ANTHC","ANTHROPIC SERIES G PREF EQ Prvt","Information Technology","Equity","136,858,361.34","1.04","136,858,361.34","185,076.00","-","United States","NO MARKET (E.G. UNLISTED)","JPY","-","USD"
"BE","BLOOM ENERGY CLASS A","Industrials","Equity","122,264,335.34","0.93","122,264,335.34","623,587.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Consumer Discretionary","Equity","113,643,647.48","0.86","113,643,647.48","929,135.00","-","China","New York Stock Exchange Inc.","JPY","-","USD"
"MKSI","MKS","Information Technology","Equity","108,368,714.20","0.82","108,368,714.20","405,565.00","-","United States","NASDAQ","JPY","-","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","104,165,107.62","0.79","104,165,107.62","312,649.00","-","United States","NASDAQ","JPY","-","USD"
"ONTO","ONTO INNOVATION","Information Technology","Equity","102,546,916.75","0.78","102,546,916.75","360,841.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"FIG","FIGMA CLASS A","Information Technology","Equity","96,331,113.53","0.73","96,331,113.53","3,789,482.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"4004","RESONAC HOLDINGS","Materials","Equity","96,224,376.18","0.73","96,224,376.18","1,010,100.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","81,262,699.33","0.62","81,262,699.33","85,640,000.00","-","United States","-","JPY","-","USD"
"CBRS","CEREBRAS SYSTEMS INC CLASS A","Information Technology","Equity","63,786,765.00","0.48","63,786,765.00","311,665.00","-","United States","NASDAQ","JPY","-","USD"
"QNT","QUANTINUUM INC CLASS A","Information Technology","Equity","51,886,209.80","0.39","51,886,209.80","976,446.00","-","United States","NASDAQ","JPY","-","USD"
"OPNAI","OPENAI SERIES C PREF EQ Prvt","Information Technology","Equity","44,597,762.15","0.34","44,597,762.15","68,345.00","-","United States","NO MARKET (E.G. UNLISTED)","JPY","-","USD"
"TWD","TWD CASH","Cash and/or Derivatives","Cash","16,359,804.31","0.12","16,359,804.31","551,713,018.00","-","Taiwan","-","JPY","-","TWD"
"USD","USD/JPY","Cash and/or Derivatives","FX","764,824.10","0.01","764,824.10","764,824.00","1.00","Japan","-","JPY","1.00","JPY"
"JPY","JPY/USD","Cash and/or Derivatives","FX","1,317.75","0.00","1,317.75","16,978,394.00","-","United States","-","JPY","-","USD"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","0.00","0.00","0.00","39.00","-","Australia","-","JPY","-","AUD"
"KRW","KRW CASH","Cash and/or Derivatives","Cash","0.00","0.00","0.00","1.00","-","Korea (South)","-","JPY","-","KRW"
"TWD","TWD/USD","Cash and/or Derivatives","FX","-1,317.75","0.00","-1,317.75","-474,347,528.00","-","United States","-","JPY","-","USD"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","-111,991,085.71","-0.85","-111,991,085.71","-1,119,911.00","100.00","Japan","-","JPY","1.00","JPY"
 
