Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"IEMG","ISHARES CORE MSCI EMERGING MARKETS","Financials","Equity","30,793,575,189.39","99.93","30,793,575,189.39","2,374,806.00","12,968.20","United States","NYSE Arca","JPY","0.01","USD"
"JPY","JPY CASH","Cash and/or Derivatives","Cash","19,311,548.00","0.06","19,311,548.00","19,311,548.00","100.00","Japan","-","JPY","1.00","JPY"
"USD","USD CASH","Cash and/or Derivatives","Cash","1,617,673.94","0.01","1,617,673.94","10,176.00","15,898.25","United States","-","JPY","0.01","USD"
 
Fund Holdings as of,"2026/08/20"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","3,988,886,330.24","13.13","3,988,886,330.24","280,974,816.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","1,984,328,707.62","6.53","1,984,328,707.62","53,335,852.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"000660","SK HYNIX","Information Technology","Equity","1,462,270,247.20","4.81","1,462,270,247.20","6,298,814.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"700","TENCENT HOLDINGS","Communication","Equity","772,920,087.05","2.54","772,920,087.05","70,241,400.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"9988","ALIBABA GROUP HOLDING","Consumer Discretionary","Equity","587,355,247.91","1.93","587,355,247.91","190,925,104.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"2454","MEDIATEK","Information Technology","Equity","364,056,694.78","1.20","364,056,694.78","16,460,572.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","239,193,785.25","0.79","239,193,785.25","9,112,480.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"2308","DELTA ELECTRONICS","Information Technology","Equity","231,762,445.36","0.76","231,762,445.36","22,219,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","215,952,246.96","0.71","215,952,246.96","962,915,000.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"2317","HON HAI PRECISION INDUSTRY","Information Technology","Equity","205,277,477.97","0.68","205,277,477.97","139,315,928.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"HDFCBANK","HDFC BANK","Financials","Equity","185,710,611.23","0.61","185,710,611.23","128,224,701.00","-","India","National Stock Exchange Of India","JPY","-","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","182,166,527.19","0.60","182,166,527.19","69,444,746.00","-","India","National Stock Exchange Of India","JPY","-","INR"
"ICICIBANK","ICICI BANK","Financials","Equity","168,296,919.80","0.55","168,296,919.80","59,672,822.00","-","India","National Stock Exchange Of India","JPY","-","INR"
"402340","SK SQUARE","Industrials","Equity","162,107,679.63","0.53","162,107,679.63","1,051,481.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","135,264,355.84","0.45","135,264,355.84","742,331,000.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"3711","ASE TECHNOLOGY HOLDING","Information Technology","Equity","135,142,879.10","0.44","135,142,879.10","38,319,222.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"1810","XIAOMI","Information Technology","Equity","132,303,360.18","0.44","132,303,360.18","195,511,600.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","124,975,275.52","0.41","124,975,275.52","653,668,682.00","-","United States","-","JPY","-","USD"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","123,007,352.25","0.40","123,007,352.25","5,752,162.00","-","South Africa","Johannesburg Stock Exchange","JPY","-","ZAR"
"009150","SAMSUNG ELECTRO MECHANICS LTD","Information Technology","Equity","122,430,337.71","0.40","122,430,337.71","638,827.00","-","Korea (South)","Korea Exchange (Stock Market)","JPY","-","KRW"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","121,449,412.99","0.40","121,449,412.99","31,312,652.00","-","India","National Stock Exchange Of India","JPY","-","INR"
"3690","MEITUAN","Consumer Discretionary","Equity","120,173,907.16","0.40","120,173,907.16","57,423,760.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"2383","ELITE MATERIAL","Information Technology","Equity","117,164,320.80","0.39","117,164,320.80","3,275,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"PDD","PDD HOLDINGS ADS","Consumer Discretionary","Equity","113,772,082.69","0.37","113,772,082.69","6,647,412.00","-","China","NASDAQ","JPY","-","USD"
"NU","NU HOLDINGS CLASS A","Financials","Equity","112,724,345.76","0.37","112,724,345.76","41,491,239.00","-","Brazil","New York Stock Exchange Inc.","JPY","-","USD"
"1120","AL RAJHI BANK","Financials","Equity","110,637,982.66","0.36","110,637,982.66","33,530,745.00","-","Saudi Arabia","Saudi Stock Exchange","JPY","-","SAR"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","110,464,878.30","0.36","110,464,878.30","40,498,646.00","-","Brazil","XBSP","JPY","-","BRL"
"3037","UNIMICRON TECHNOLOGY","Information Technology","Equity","103,692,549.75","0.34","103,692,549.75","15,216,552.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"3988","BANK OF CHINA LTD H","Financials","Equity","102,219,644.22","0.34","102,219,644.22","770,829,000.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","98,900,292.15","0.33","98,900,292.15","74,992,500.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"9999","NETEASE","Communication","Equity","94,317,581.94","0.31","94,317,581.94","20,005,835.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
"2222","SAUDI ARABIAN OIL","Energy","Equity","93,166,589.78","0.31","93,166,589.78","69,304,558.00","-","Saudi Arabia","Saudi Stock Exchange","JPY","-","SAR"
"1211","BYD H","Consumer Discretionary","Equity","92,847,713.32","0.31","92,847,713.32","41,490,500.00","-","China","Hong Kong Exchanges And Clearing Ltd","JPY","-","HKD"
