No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
66,8079,JP3361200003,正栄食品工業,SHOEI FOODS CORPORATION,6000,24750000.000000004,0.0007426118187003397
67,7433,JP3766400000,伯東,"HAKUTO CO.,LTD.",5400,24597000,0.0007380211274574648
68,9274,JP3293350009,ＫＰＰグループホールディングス,"KPP GROUP HOLDINGS CO.,LTD.",23700,24363600,0.0007310180729732361
69,2767,JP3802680003,円谷フィールズホールディングス,TSUBURAYA FIELDS HOLDINGS INC.,16800,23318400,0.0006996573508356364
70,2737,JP3553900006,トーメンデバイス,TOMEN DEVICES CORPORATION,1300,22607000,0.0006783121367821647
71,8131,JP3894400005,ミツウロコグループホールディングス,"MITSUUROKO GROUP HOLDINGS CO.,LTD.",11000,21538000.000000004,0.0006462373071178957
72,7504,JP3288900008,高速,KOHSOKU CORPORATION,6100,20709500,0.0006213785640151388
73,7613,JP3346700002,シークス,SIIX CORPORATION,14600,19038400.000000004,0.0005712380141068504
74,8137,JP3345400000,サンワテクノス,SUN-WA TECHNOS CORPORATION,5200,18954000,0.0005687056327937874
75,3153,JP3931700003,八洲電機,"YASHIMA DENKI CO.,LTD.",6800,18951600,0.0005686336219507619
76,3151,JP3778280002,バイタルケーエスケー・ホールディングス,"VITAL KSK HOLDINGS,INC.",12500,18925000,0.000567835501773896
77,8014,JP3528200003,蝶理,"CHORI CO.,LTD.",4900,18840500.000000004,0.0005653001200090405
78,8081,JP3215000005,カナデン,KANADEN CORPORATION,7200,18122400.000000004,0.000543753875685456
79,8065,JP3322000005,佐藤商事,SATO SHO-JI CORPORATION,6300,17721900.000000004,0.0005317370662555779
80,8141,JP3374200008,新光商事,"SHINKO SHOJI CO.,LTD.",11000,17490000,0.00052477901854824
81,3176,JP3342500000,三洋貿易,"SANYO TRADING CO.,LTD.",22400,17472000,0.0005242389372255488
82,8159,JP3466600008,立花エレテック,"TACHIBANA ELETECH CO.,LTD.",5400,17415000,0.0005225286797036935
83,7447,JP3647000003,ナガイレーベン,"NAGAILEBEN CO.,LTD.",9900,17315100,0.0005195312283627576
84,8052,JP3534600006,椿本興業,"TSUBAKIMOTO KOGYO CO.,LTD.",6300,16991100,0.0005098097645543168
85,7607,JP3384710004,進和,"SHINWA CO.,LTD.",5300,16960000.000000004,0.0005088766240467782
86,7128,JP3828100002,ユニソルホールディングス,UNISOL HOLDINGS CORPORATION,7800,16770000.000000002,0.0005031757656405938
87,8075,JP3374000002,神鋼商事,SHINSHO CORPORATION,6800,16286000.000000002,0.0004886535789637872
88,2676,JP3457710006,高千穂交易,"TAKACHIHO KOHEKI CO.,LTD.",7200,15501600.000000002,0.0004651180351016237
89,9305,JP3937600009,ヤマタネ,YAMATANE CORPORATION,7300,14767900.000000002,0.0004431037202983736
90,8151,JP3616600007,東陽テクニカ,TOYO CORPORATION,7500,14587500.000000002,0.0004376909052642911
91,8142,JP3553200001,トーホー,"TOHO CO.,LTD.",10600,14310000.000000002,0.00042936465153946914
92,8150,JP3333200008,三信電気,"SANSHIN ELECTRONICS CO.,LTD.",5200,14211600.000000002,0.00042641220697542414
93,7537,JP3877500003,丸文,MARUBUN CORPORATION,8100,13405500.000000002,0.0004022255650742386
94,9902,JP3661950000,日伝,NICHIDEN CORPORATION,5100,13117200,0.0003935752625558018
95,7414,JP3196700003,小野建,"ONOKEN CO.,LTD.",9700,12939800,0.0003882524610755012
96,3139,JP3967250006,ラクト・ジャパン,"LACTO JAPAN CO.,LTD.",3900,12792000.000000002,0.0003838177933258483
97,8101,JP3276000001,ＧＳＩクレオス,GSI CREOS CORPORATION,5300,12460300,0.00037386529472936735
98,8132,JP3354000006,シナネンホールディングス,"SINANEN HOLDINGS CO.,LTD.",1800,12168000.000000002,0.0003650949741392216
99,7438,JP3306050000,コンドーテック,KONDOTEC INC.,7600,11506400.000000002,0.00034524398507852885
100,9837,JP3926200001,モリト,"MORITO CO.,LTD.",6500,11440000,0.000343251685088157
101,8103,JP3920600008,明和産業,MEIWA CORPORATION,12900,11313300,0.0003394501126667698
102,8285,JP3886600000,三谷産業,"MITANI SANGYO CO.,LTD.",15900,11098200.000000002,0.0003329961408606105
103,7480,JP3398400006,スズデン,SUZUDEN CORPORATION,4700,10739500.000000002,0.0003222335202800929
104,9991,JP3225500002,ジェコス,GECOSS CORPORATION,6500,9997000.000000002,0.0002999551657190827
105,8158,JP3431400005,ソーダニッカ,"SODA NIKKA CO.,LTD.",8800,9873600,0.0002962526082068555
106,7466,JP3163800000,ＳＰＫ,SPK CORPORATION,7400,9575600,0.0002873112618645241
107,3388,JP3917600003,明治電機工業,"MEIJI ELECTRIC INDUSTRIES CO.,LTD.",4500,9490500.000000002,0.0002847578773889121
108,7628,JP3173100003,オーハシテクニカ,OHASHI TECHNICA INC.,8300,9229600.000000002,0.00027692969866168306
109,7482,JP3359500000,シモジマ,"SHIMOJIMA CO.,LTD.",6800,9064400,0.00027197295230009527
110,8018,JP3328000009,三共生興,"SANKYO SEIKO CO.,LTD.",11800,9050600.000000002,0.0002715588899526988
111,9932,JP3397050000,杉本商事,"SUGIMOTO & CO.,LTD.",7300,8650500.000000002,0.00025955408232999146
112,8093,JP3257000004,極東貿易,"KYOKUTO BOEKI KAISHA,LIMITED",5100,8649600.000000002,0.00025952707826385694
113,3023,JP3967450002,ラサ商事,RASA CORPORATION,4800,8620800.000000002,0.0002586629481475511
114,8095,JP3150000002,アステナホールディングス,"ASTENA HOLDINGS CO.,LTD.",17200,8582800,0.00025752277646631414
115,9896,JP3389570007,ＪＫホールディングス,"JK HOLDINGS CO.,LTD.",6000,8580000.000000002,0.0002574387638161178
116,7637,JP3766500007,白銅,"HAKUDO CO.,LTD.",2500,8450000.000000002,0.00025353817648557055
117,7525,JP3974500005,リックス,RIX CORPORATION,2300,8165000.000000001,0.0002449868888762939
118,3183,JP3154390003,ウイン・パートナーズ,"WIN-PARTNERS CO.,LTD.",6600,8151000.000000001,0.00024456682562531187
119,7510,JP3463100002,たけびし,TAKEBISHI CORPORATION,3500,7948500,0.00023849091074503635
120,8070,JP3576600005,東京産業,"TOKYO SANGYO CO.,LTD.",9200,7387600,0.00022166137663962138
121,9273,JP3283420002,コーア商事ホールディングス,"KOA SHOJI HOLDINGS CO.,LTD.",8100,6139800,0.00018422173916995334
122,3154,JP3254190006,メディアスホールディングス,"MEDIUS HOLDINGS CO.,LTD.",5900,4708200,0.00014126727130525006
123,3565,JP3120110006,アセンテック,ASCENTECH K.K.,11200,4704000.000000001,0.0001411412523299555
124,7570,JP3768000006,橋本総業ホールディングス,"HASHIMOTO SOGYO HOLDINGS CO.,LTD.",3100,4284200,0.0001285453557040806
125,3180,JP3800480000,ビューティガレージ,BEAUTY GARAGE INC.,2900,4196300.000000001,0.00012590795857827215
126,8275,JP3802750004,フォーバル,FORVAL CORPORATION,3600,3672000.0000000005,0.00011017658982899585
127,7590,JP3456500002,タカショー,"TAKASHO CO.,LTD.",7300,2898100,8.695609340506886e-05
,,,,,,,
,,,合計（Total）,,,33222909950,0.9968373971913983
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,33328314170,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
1629,NEXT FUNDS 商社・卸売（TOPIX-17）上場投信　（NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF）,,,,,,
,"2026年6月30日現在　（as of June 30, 2026）",,,ISINコード：,JP3046680009,,
