No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
60,CYRE3,BRCYREACNOR7,CYRELA BRAZIL REALTY,10800,7377987,0.002167214319135818
61,COGN3,BRCOGNACNOR2,COGNA EDUCACAO,93540,6856136,0.0020139254939243686
62,AURE3,BRAUREACNOR9,AUREN ENERGIA SA - ON,16100,5721554.000000001,0.0016806526978847777
63,POMO4,BRPOMOACNPR7,MARCOPOLO SA-PREF,30030,5088229.000000001,0.001494619433165459
64,CSNA3,BRCSNAACNOR6,CIA SIDERURGICA NACIONAL SA,31300,4916088.000000001,0.0014440546327516932
65,DIRR3,BRDIRRACNOR0,DIRECIONAL ENGENHARIA SA,13500,4908948.000000001,0.0014419573248764383
66,HAPV3,BRHAPVACNOR4,HAPVIDA PARTICIPACOES E INVESTIMENTOS,13240,4625358,0.001358655428469772
67,USIM5,BRUSIMACNPA6,USINAS SIDER MINAS GER-PF A,18700,4479800.000000001,0.0013158991343932484
68,CEAB3,BRCEABACNOR1,C&A MODAS LTDA,13500,4039388.0000000005,0.0011865322498054542
69,MRVE3,BRMRVEACNOR2,MRV ENGENHARIA,24700,3707048.0000000005,0.0010889104992084964
70,SLCE3,BRSLCEACNOR2,SLC AGRICOLA SA,8662,3644448,0.0010705223377251672
71,RECV3,BRRECVACNOR3,PETRORECONCAVO SA,10400,3481416.0000000005,0.0010226332204256452
72,VIVA3,BRVIVAACNOR0,VIVARA PARTICIPACOES SA,4800,3375057.0000000005,0.000991391264080511
73,AZZA3,BRAZZAACNOR9,AZZAS 2154 SA,6441,3241355,0.0009521175585430659
74,MGLU3,BRMGLUACNOR2,MAGAZINE LUIZA SA,20085,3199231,0.0009397440295602584
75,YDUQ3,BRYDUQACNOR3,YDUQS PARTICIPACOES SA,10800,2857985.0000000005,0.0008395062251906084
76,BEEF3,BRBEEFACNOR6,MINERVA SA,23700,2699684,0.0007930067946638916
77,VAMO3,BRVAMOACNOR7,VAMOS LOCACAO DE CAMINHOES M,19000,2061815.0000000002,0.0006056387726637384
78,BRKM5,BRBRKMACNPA4,BRASKEM SA-PREF A,9600,1806325.0000000002,0.0005305909870826564
79,KLBN4,BRKLBNACNPR9,KLABIN SA-PREF,2,228.00000000000003,6.697285652075106e-08
80,MCBU6,-,MSCIBRIX2609,1,12092572,0.003552079340012507
,,,,,,
,,,合計（Total）,,3368311795,0.9894099235249493
,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,3404364273.0000005,1
,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,
1325,NEXT FUNDS ブラジル株式指数・ボベスパ連動型上場投信　（NEXT FUNDS Ibovespa Linked Exchange Traded Fund）,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046800003,
