Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,GLOBAL X S&P 500 COVE CALL E,US37954Y4750,XNYS,USD,1223369,41.65
,nan,CASHUSDJPY01,,USD,-333079.54,0.006283775
,2026-08-24,FORWARD,,USD,353500.0,0.006285256
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
2868,Global X S&P 500 Covered Call ETF,57008638.0,7090000,20260824,,
,,,,,,
