Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,GLOBAL X DEFENSE TECH ETF,US37960A5294,ARCX,USD,679045,62.75
,nan,CASHUSDJPY01,,USD,40347.88,0.006097189
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
466A,Global X Defense Tech ETF,544117.0,6500000,20260727,,
,,,,,,
