No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV
56,7182,JP3946750001,ゆうちょ銀行,"JAPAN POST BANK CO.,LTD.",4400,13688400.000000002,0.003636617713956118
57,7730,JP3869920003,マニー,"MANI,INC.",8800,13305600.000000002,0.0035349186650605277
58,7366,JP3974470001,ＬＩＴＡＬＩＣＯ,LITALICO INC.,7800,12409800,0.0032969301384130085
59,4666,JP3780100008,パーク２４,"PARK24 CO.,LTD.",5700,11257500.000000002,0.0029907968728895267
60,6845,JP3937200008,アズビル,AZBIL CORPORATION,6700,11158850.000000002,0.0029645883797506816
61,1925,JP3505000004,大和ハウス工業,"DAIWA HOUSE INDUSTRY CO.,LTD.",2000,9356000,0.0024856225221189794
62,4613,JP3229400001,関西ペイント,"KANSAI PAINT CO.,LTD.",3300,9345600,0.0024828595385544177
63,9983,JP3802300008,ファーストリテイリング,"FAST RETAILING CO.,LTD.",100,7819000,0.002077285431856381
64,6301,JP3304200003,小松製作所,KOMATSU LTD.,1100,7693400.000000001,0.002043917091884369
65,4022,JP3967400007,ラサ工業,"RASA INDUSTRIES,LTD.",3500,6391000,0.0016979065347223596
66,4461,JP3475000000,第一工業製薬,DKS CO.LTD.,500,6310000,0.001676387143498371
67,6146,JP3548600000,ディスコ,DISCO CORPORATION,100,5848000.000000001,0.0015536469120726586
68,8035,JP3571400005,東京エレクトロン,TOKYO ELECTRON LIMITED,100,5550000,0.0014744768060881077
69,7747,JP3110650003,朝日インテック,"ASAHI INTECC CO.,LTD.",1100,3952300.0000000005,0.0010500134559823474
70,6762,JP3538800008,ＴＤＫ,TDK CORPORATION,1300,3910400.0000000005,0.0010388818202751238
71,6857,JP3122400009,アドバンテスト,ADVANTEST CORPORATION,100,3250000,0.0008634323639254685
72,6331,JP3896000001,三菱化工機,"MITSUBISHI KAKOKI KAISHA,LTD.",900,2839500.0000000005,0.000754374214574267
,,,,,,,
,,,合計（Total）,,,3748349790,0.9958296984613026
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,3764047001,1
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
2083,NEXT FUNDS 日本成長株アクティブ上場投信　（NEXT FUNDS Japan Growth Equity Active Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3050010002,,
