Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
3107,DAIWABO HOLDINGS LTD,Wholesale Trade,Equity,"19,910,000.00",0.10,"19,910,000.00","5,500.00","3,620.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4114,NIPPON SHOKUBAI LTD,Chemicals,Equity,"19,747,500.00",0.10,"19,747,500.00","7,500.00","2,633.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7419,NOJIMA,Retail Trade,Equity,"19,200,000.00",0.09,"19,200,000.00","15,000.00","1,280.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8129,TOHO HOLDINGS,Wholesale Trade,Equity,"19,200,000.00",0.09,"19,200,000.00","4,800.00","4,000.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2222,KOTOBUKI SPIRITS LTD,Foods,Equity,"19,031,550.00",0.09,"19,031,550.00","7,100.00","2,680.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4733,OBIC BUSINESS CONSULTANTS LTD,Information & Communication,Equity,"19,030,200.00",0.09,"19,030,200.00","2,300.00","8,274.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
6005,MIURA,Machinery,Equity,"18,872,800.00",0.09,"18,872,800.00","6,200.00","3,044.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9616,KYORITSU MAINTENANCE,Services,Equity,"18,802,800.00",0.09,"18,802,800.00","5,400.00","3,482.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9759,NSD LTD,Information & Communication,Equity,"18,364,800.00",0.09,"18,364,800.00","6,400.00","2,869.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4272,NIPPON KAYAKU LTD,Chemicals,Equity,"18,343,600.00",0.09,"18,343,600.00","8,800.00","2,084.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9744,MEITEC GROUP HOLDINGS INC,Services,Equity,"18,030,600.00",0.09,"18,030,600.00","5,400.00","3,339.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8919,KATITAS,Real Estate ex REIT,Equity,"17,883,500.00",0.09,"17,883,500.00","4,700.00","3,805.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8098,INABATA LTD,Wholesale Trade,Equity,"17,745,000.00",0.09,"17,745,000.00","4,200.00","4,225.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8425,MIZUHO LEASING LIMITED LTD,Other Financing Business,Equity,"17,737,500.00",0.09,"17,737,500.00","12,900.00","1,375.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2670,ABC MART INC,Retail Trade,Equity,"17,599,050.00",0.09,"17,599,050.00","6,300.00","2,793.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1662,JAPAN PETROLEUM EXPLORATION,Mining,Equity,"17,268,400.00",0.09,"17,268,400.00","9,200.00","1,877.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9449,GMO INTERNET GROUP,Information & Communication,Equity,"17,026,800.00",0.08,"17,026,800.00","4,200.00","4,054.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
8424,FUYO GENERAL LEASE,Other Financing Business,Equity,"16,666,800.00",0.08,"16,666,800.00","3,800.00","4,386.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9861,YOSHINOYA HOLDINGS LTD,Retail Trade,Equity,"15,440,000.00",0.08,"15,440,000.00","4,000.00","3,860.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
5384,FUJIMI,Glass & Ceramics Products,Equity,"15,330,000.00",0.08,"15,330,000.00","4,200.00","3,650.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
4812,DENTSU SOKEN INC,Information & Communication,Equity,"14,585,600.00",0.07,"14,585,600.00","5,300.00","2,752.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9682,DTS,Information & Communication,Equity,"14,173,200.00",0.07,"14,173,200.00","12,700.00","1,116.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
7004,KANADEVIA,Machinery,Equity,"13,792,400.00",0.07,"13,792,400.00","11,600.00","1,189.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3360,SHIP HEALTHCARE HOLDINGS INC,Wholesale Trade,Equity,"13,032,250.00",0.06,"13,032,250.00","5,500.00","2,369.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3923,RAKUS,Information & Communication,Equity,"12,576,900.00",0.06,"12,576,900.00","11,300.00","1,113.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
167A,RYOYO RYOSAN HOLDINGS INC,Wholesale Trade,Equity,"12,440,000.00",0.06,"12,440,000.00","4,000.00","3,110.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
2201,MORINAGA LTD,Foods,Equity,"12,405,600.00",0.06,"12,405,600.00","4,800.00","2,584.50",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
9302,MITSUI-SOKO HOLDINGS LTD,Warehousing & Harbor Transportation Services,Equity,"12,239,600.00",0.06,"12,239,600.00","3,700.00","3,308.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
1979,TAIKISHA LTD,Construction,Equity,"12,105,500.00",0.06,"12,105,500.00","3,100.00","3,905.00",Japan,Tokyo Stock Exchange,JPY,1.00,JPY
3697,SHIFT INC,Information & Communication,Equity,"11,938,750.00",0.06,"11,938,750.00","12,500.00",955.10,Japan,Tokyo Stock Exchange,JPY,1.00,JPY
