Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1321,NEXT FUNDS Nikkei 225 Exchange Traded Fund,0.0817,,,,,,,,0.135449378794574,-0.423263122241981,-0.36420083204014,-0.369099734468508,0.0118,18246310000,,21.211584,,,-0.0185185185185185,-0.0186639016442009,-0.0160403980395069,-0.00405892964521948,0.0338639200998752,,,,66250,,,,,,,
200A,NEXT FUNDS Nikkei Semiconductor Stock Index Exchange Traded Fun,0.15,,,,,,,,-0.555631371050414,-0.681798097769692,-0.631819894490977,-0.564173685358725,0.0058,6699940832,,35.379986,,,-0.0469920544835414,-0.0426453819840365,-0.0257600371315851,-0.000238151940938319,0.123360984747123,,,,4198,,,,,,,
1306,NEXT FUNDS TOPIX Exchange Traded Fund,0.049(*3),,,,,,,,-0.162167192856254,-0.506215048240411,-0.501693116278366,-0.278896156489661,0.0182,6103152329.4,,17.593424,,,-0.00709726075324054,-0.0059213930240375,-0.0182456140350877,-0.0113074204946997,0.0169614431449476,,,,419.7,,,,,,,
1540,Japan Physical Gold ETF,0.4,,,,,,,,0.0047790687343493,-0.324026515393101,-0.303530580598717,0.0845945526587994,0,4433857000,,,,,-0.0132874015748032,-0.0110974106041924,-0.042044911610129,-0.0299951620706338,0.0100755667506297,,,,20050,,,,,,,
1329,iShares Core Nikkei 225 ETF,0.045,,,,,,,,0.107820550146295,-0.577053672096305,-0.135526221559333,-0.443939845703762,0.0125,3528719544,,21.235947,,,-0.0170345134054214,-0.0189237137788291,-0.0138207757467677,-0.00345397206787806,0.0344294053335209,,,,6636,,,,,,,
1615,NEXT FUNDS TOPIX Banks Exchange Traded Fund,0.19,,,,,,,,0.500944129471474,-0.331838288421023,-0.412273649972381,-0.457808731580207,0.0269,3400601813.8,,16.285456,,,0.00351748892644431,0.0050886944959574,-0.0213441444632637,-0.00323497390328445,0.0698611111111111,,,,770.3,,,,,,,
1330,Amova Exchange Traded Index Fund 225,0.074(*3),,,,,,,,0.269463078094871,-0.463448874728398,-0.155544073530493,-0.296288631834679,0.0121,2379350440,,21.21932,,,-0.0205226635169054,-0.0199438617225587,-0.014996288047513,-0.0039039039039039,0.0342999688182102,,,,66340,,,,,,,
2644,Global X Japan Semiconductor ETF,0.59,,,,,,,,-0.523916516227229,-0.703438539932979,-0.638686974325802,-0.636332980520693,0.0056,2307331312,,32.247734,,,-0.0412583806085611,-0.051530612244898,-0.0267015706806283,-0.00985352862849534,0.0529595015576324,,,,3718,,,,,,,
2641,Global X Japan Global Leaders ETF,0.275,,,,,,,,7.86677851002893,3.85881038577498,4.54277084108792,0.590596479183275,0.0151,2282183020,,20.237791,,,0.00135931128228364,-0.0173410404624277,-0.0223401902234019,-0.0219075016596592,-0.00718778077268643,,,,4420,,,,,,,
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fd,0.28,,,,,,,,-0.461013735022785,-0.386824969657694,-0.302027529260238,-0.356267085387812,0.0263,1997195284,,14.249815,,,0.00685714285714286,0.0071448985424407,-0.0150922302962549,-0.0170153417015342,0.0103211009174312,,,,3524,,,,,,,
