Ticker,Name,Fee,Bought,ISIN,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1615,NEXT FUNDS TOPIX Banks Exchange Traded Fund,0.19,5870,,,,,,,-0.544193628430537,-0.573751965842354,-0.654896890598557,-0.337530415604088,0.0285,2568099473,,16.2733270216522,20.4183184958341,1.60259688924485,0.0158436429880245,0.0369272237196765,0.0418415707515233,0.0493725957314183,0.00522599354370231,0.266544189147288,-0.328592303556168,0.0592146100757003,769.4,1.79,1.88,1.85942860277265,Buy,0.796996433617801,,Near peak
1329,iShares Core Nikkei 225 ETF,0.045,,,,,,,,-0.773722244167621,-0.704235302636239,-0.690702047395044,-0.393002010276089,0.0128,2639479074,,22.212421777783,23.5500401887105,7.73676347705324,0.00452422650321074,0.00790745350710207,0.00599239988307512,0.0168414832323829,-0.0321720561162883,0.590099840183895,-0.210172921687165,0.220590022978093,6883,2.11,2.52,1.84875,Buy,0.943201013662441,,
1542,Japan Physical Silver ETF,0.5,-1,,,,,,,-0.605711887903881,-0.272255284527691,0.266867261183505,-0.125591670695564,0,2814699200,,,,,-0.000934288383681096,0.00312695434646654,-0.012011087157376,0.102405498281787,0.162740123233055,,,,32080,2.33,2.33,,,,,
2854,Global X Japan Tech Top 20 ETF,0.275,,,,,,,,0.374969371706042,-0.0737594148479309,-0.228278092287063,1.19354741445115,0.0068,1182022150,,35.0498320061965,28.6387735224683,8.03963384547442,0.0177872643187478,0.0221507681314755,0.0441605839416058,0.0487536656891496,0.0476016111314537,0.643546446138725,-0.205161707376881,0.234822972850813,2861,2.11,2.11,1.61801184331547,Buy,1.22385939393314,,
2243,Global X Semiconductor ETF,0.375,,,,,,,,-0.830655732763632,-0.741523505418982,-0.748876315781479,-0.491681313743242,0.0014,1003995645,,40.2075885292572,17.4932748046835,16.3485715551957,-0.00424865831842576,0.0145819093187514,-0.00380313199105145,-0.0015695067264574,-0.108329995995194,0.996145661251985,-0.221451033024394,0.356400133533484,4453,3.4,3.03,1.6051151349917,Buy,2.29845977829677,,
1475,iShares Core TOPIX ETF,0.045,-1,,,,,,,-0.736563469811089,-0.751896531011605,-0.737267339808309,-0.339689629859938,0.0176,969002353.2,,18.4234471191242,15.3315765952155,3.63783268093928,0.00804165635098389,0.0137963991144675,0.0196172248803828,0.0337133461522462,0.0165937229509233,0.485201831814433,-0.178948832577511,0.174943998626791,426.2,1.79,2.25,1.90722235963394,Buy,1.20166683476464,,
316A,iFreeETF FANG+,0.55,-1,,,,,,,-0.706948168017601,-0.611365245777015,-0.609953895018923,-0.106864284934235,0,725169924,,,,,0.0121861152141802,0.0227611940298507,0.0227611940298507,0.0289039039039039,0.0327807083647325,,,,2741,2.25,2.27,,,,,
1655,iShares S&P 500 ETF,0.06,,,,,,,,-0.682447177557592,-0.38988084217793,-0.433336592041594,-0.0155569241585121,0.0086,907732996.2,,25.8850834038033,18.7109143924786,13.7166049759315,0.00407333362384537,0.00863834088711039,0.0128980992226429,0.0078364565587734,0.00558544320760137,0.554699594273957,-0.178735949216367,0.186597407586004,887.4,2.16,2.25,1.76141122278057,Buy,1.38342161483078,,
1671,Simplex WTI ETF,0.85,,,,,,,,-0.775733287735352,-0.500062533597948,-0.567157405005377,-0.309404947647552,0,646153456,,,,,0.0229331277702833,-0.00840650102746124,-0.0273043796958036,-0.00914691058428225,0.0721066451221975,,,,5308,2.07,2.2,,,,,
2559,MAXIS World Equity (MSCI ACWI) ETF,0.078,,,,,,,,-0.467825334026276,-0.343589890178254,-0.362306911035147,-0.373980949575803,0.0116,759485988,,3.0560791,,,0.00198544010589014,0.00698370468905886,0.0103436770103437,0.0103436770103437,0.00866089273817455,,,,3028,2.07,2.25,,,,,
282A,Global X Japan Semiconductor Top 10 ETF,0.1,,,,,,,,-0.828333925124508,-0.622584148265638,-0.655647109536219,-0.11715774418095,0.0044,595932288,,37.2430559227931,29.2826083535683,11.5971651373181,-0.00974989402289106,-0.00170940170940171,-0.0143459915611814,-0.000855431993156544,-0.199725933538883,1.03012241246721,-0.222696054491158,0.412610685200202,2336,3.62,3.18,1.74186367539926,Buy,1.27184899217678,,
1328,NEXT FUNDS Gold Price Exchange Traded Fund,0.16,-1,,,,,,,-0.218871433163463,-0.0299200041143191,0.338124298530331,-0.158970848918848,0,680374500,,,,,-0.00547708273277602,-0.0196078431372549,0.00700525394045534,0.0563380281690141,0.117952041477641,,,,17250,1.93,1.98,,,,,
318A,SIMPLEX VIX Short-Term Futures ETF,0.89,,,,,,,,-0.331720430659234,-0.202844266032856,-0.123357649492999,0.111000807708865,0,457915455.3,,,,,-0.0173865960266131,-0.0403289841937728,-0.0466525940464661,-0.0796437659033079,-0.165050808384697,,,,361.7,4.39,3.91,,,,,
221A,MAXIS Nikkei Semiconductor Stock (Japan) ETF,0.14,,,,,,,,-0.847259128548753,-0.722527268330421,-0.756928776646199,-0.057187588385375,0.0043,271444341,,36.8032512804213,27.3857117411039,10.1613553354595,-0.0140412461605968,-0.00925925925925926,-0.0251626898047722,0,-0.204494865659232,1.39930686117667,-0.226202575044702,0.559947317385186,1123.5,3.76,3.03,1.69896828474548,Buy,1.34388514815127,,
