Ticker,Name,Fee,Bought,Market cap,PE ratio,Forward PE ratio,PB,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Avg Volume,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Price 1D,Price 3D,Price 5D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating,Score,Sector,Note
1475,iShares Core TOPIX ETF,0.05%,,,18.7,,,,,,,,0.0189,3684850,-0.2523646636,-0.007450959136,-0.236512299,-0.4552485218,-0.01447179454,0.00122517493,0.01088566962,0.04930664202,,,,408.6,2.2,2.47,,0,,
1306,NEXT FUNDS TOPIX Exchange Traded Fund,0.09%,,,18.75,,,,,,,,0.0176,20961211,1.112659848,1.108004746,1.269340154,1.025724672,-0.0122699102,0.002634730539,0.0123337364,0.04885991881,,,,418.6,2.2,2.38,,0,,
2251,"Nomura Asset Management Co.,Ltd.-Next Funds JPX JGB Futures Double Inverse Index Exchange Traded Fun",,,,,,,,,,,,0,136195,2.833729976,0.8687191426,0.4201775238,-0.5297202621,0.003278688525,0.0003382081189,0.0002254145516,0.02023455099,,,,887.4,2.51,2.32,,0,,
453A,iShares 20+ Year US Treasury Bond Premium Income ETF,,,,,,,,,,,,,152840,-0.6376499562,0.04687269475,-0.2033453093,1.408808565,-0.001002978448,0.004285323269,0.008863018885,0.007271477885,,,,796.8,2.81,2.89,,0,,
2012,iShares 0-3 Month US Treasury Bond ETF,,,,,,,,,,,,0,139175,-0.1215324217,-0.1024050363,-0.4514063187,-0.2567168897,-0.0000000253,0.002078112568,0.002494802495,0.006260408424,,,,241.1,2.38,2.08,,0,,
2620,iShares 1-3 Year US Treasury Bond ETF,,,,,,,,,,,,0.0258,128165,-0.7315409867,-0.1220777235,-0.4805135048,-0.3136828549,-0.0002694294282,0.00243108526,0.002972972973,0.002972972973,,,,371.1,2.47,2.07,,0,,
2511,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn UnHdg ETF,,,,,,,,,,,,0.0285,126876,0.4624610448,-0.1841913585,-0.04912916442,-0.07193743673,0.002942412778,0.001258917331,0.006326444538,0.001258917331,,,,1193,2.29,1.98,,0,,
237A,iShares 25+ Year US Treasury Bond Long Duration ETF,,,,,,,,,,,,0.087,275886,-0.8340980405,-0.5334651255,-0.5780924713,-0.1557099481,0,0.006289308176,0.01975784719,0.001251545334,,,,160,3.01,3.36,,0,,
2512,NEXT FUNDS International Bond FTSE World Government Bd Idx ex Jpn Hdg ETF,,,,,,,,,,,,0.0288,131567,5.381143723,-0.9586773714,0.2148801553,-0.6364146538,0.003817801326,0.001360157476,0.004639754727,-0.0004073319756,,,,736.2,2.96,3.71,,0,,
2255,iShares 20+ Year US Treasury Bond ETF,,,,,,,,,,,,0.0382,201066,-0.42584556,0.1458931511,-0.2376832717,-0.07622917395,-0.0009533033787,0.003350914907,0.01012048193,-0.0004768571755,,,,209.6,2.61,2.45,,0,,
2256,iShares US Aggregate Bond ETF,0.09%,,,,,,,,,,,0.0324,178192,-0.5947068563,-0.3023898525,-0.09186876554,-0.2575225231,-0.0008877188151,0.003119456874,0.004910714286,-0.0008877188151,,,,225.1,2.29,2.08,,0,,
1656,iShares Core 7-10 Year US Treasury Bond ETF,,,,,,,,,,,,0.0363,293156,-0.215569775,0.6933738257,0.2961939491,1.044064417,0.0000000193,0.002220773369,0.004771011872,-0.004725878782,,,,315.9,2.61,2.11,,0,,
2510,NEXT FUNDS Japan Bond NOMURA-BPI Exchange Traded Fund,,,,,,,,,,,,0.0091,191735,2.055999211,-0.4214540393,-0.377771948,-0.088436886,-0.0002460627483,0.003209510545,0.004449418518,-0.01095291721,,,,812.7,3.45,3.8,,0,,
1629,NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF,,,,16.57,,,,,,,,0.0206,1364429,-0.9322464515,-0.8737546165,-0.874322668,-0.9430157336,-0.01065444415,-0.009901013112,-0.03632315877,-0.05074842719,,,,260,3.53,3.05,,0,,
201A,iShares Nifty 50 ETF,,,,,,,,,,,,0.0071,197070,-0.5812184374,0.05093175134,-0.01927385605,-0.1937445716,0.006849332607,0.00455577374,0.0005671976546,-0.05617974446,,,,176.4,3.71,3.77,,0,,
314A,iShares Gold ETF,0.22%,,,,,,,,,,,0,3603090,-0.2089236602,-0.005392653388,-0.07471752197,-0.3702048715,0.002071005917,-0.007327116406,0.02295377154,-0.0628112736,,,,338.7,3.76,3.09,,0,,
