Ticker,Name,Fee,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Dividend yield,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
MMM,3M Company,,,0.08118,0.11137,0.23316999,3.96497,-0.397,-0.232036123485744,-0.114067549733344,-0.218544231589272,-0.106978842723413,0.0195,433219147.2,83367313408,30.797688,16.84514,25.549871,-0.01193054473319,0.0208200161631289,0.0147282609485344,0.0332256183138614,0.0540059771390831,0.307557557557558,-0.249249249249249,0.0729074699699699,159.84,2.65,1.93,2.2,Buy,1.82828329120447,Industrials,
AOS,A. O. Smith Corporation,,,0.12775,0.13841,0.17111,0.34981,-0.105,0.130162528931591,0.0563454447121294,-0.0570777366076268,0.092362618603364,0.0245,100848891,8111214080,15.693333,14.139055,4.319266,-0.0277548127073725,-0.0331854602814303,-0.0263070592792229,-0.0104254448961956,0.0373700066079729,0.427357689039932,0.00254885301614271,0.197188615123195,58.85,4.21,3.71,2.5,Hold,1.10992799730958,Industrials,
ABT,Abbott Laboratories,,,,0.116450004,0.14151,0.64773,-0.475,0.48856638336923,0.893512320603772,0.409858862758054,0.13063065765077,0.025,1451873055.6,175365750784,28.201681,16.595623,3.3539877,0.0187189935714846,0.139816573224652,0.0795068520717369,0.065329738621293,0.165629155972504,0.34088200238379,-0.0862137465236393,0.175340981326977,100.68,2.24,2.95,1.7,Buy,1.69934451993758,Healthcare,
ABBV,AbbVie Inc.,,,0.10032,0.05786,0.32156,,-0.462,-0.0406955739964157,-0.0996020530693534,-0.232421086577699,0.331930661759126,0.0272,1652250876,449631125504,124.75001,15.63166,-67.55774,0.000393099613158931,0.0470684912758715,0.0331402377400111,0.014091239445706,0.180405362997728,0.288852214232386,-0.214114503516838,0.0474731423631576,254.49,2.07,2.2,1.7,Buy,7.98059898948672,Healthcare,
ACN,Accenture plc,,,0.10903,0.10656,0.16964,0.25035,0.09,0.27976375077943,0.200411109906973,-0.0354389364878365,0.885740010870213,0.0454,1144377805.9,87856529408,11.467253,9.786293,2.7545521,-0.00719176133021276,0.0669589967663522,0.0616727393030785,0.0590882456894708,-0.181106222467655,0.915441944695967,-0.0945183534164519,0.247689628752525,143.57,3.22,3.71,2.1,Buy,1.1717667762451,Technology,
ADBE,Adobe Inc.,,,0.19926001,0.28689,0.35327998,0.61443,0.079,0.129973406975555,-0.184023841281557,-0.193970346722331,0.516937238168409,,1280075257.5,94306877440,13.564895,8.618228,8.218727,0.00824445396087846,0.0745991544151035,0.0608567369321032,0.0738209349975869,-0.0741101738920823,0.601685985247629,-0.199157007376185,0.148472750263435,237.25,2.69,3.22,2.7,Hold,1.57397727235808,Technology,
AMD,"Advanced Micro Devices, Inc.",,,0.03647,0.13374,0.14396,0.06005,0.912,-0.103898133021259,-0.238907361667142,-0.323024685486962,-0.272286272951046,,13007388975.2,808386560000,164.15895,36.81913,12.53597,-0.0103405645709281,-0.0955430361707876,-0.111366063233072,-0.0418429761083937,-0.0861904037599419,0.462401161852509,-0.354526383734065,0.0896229425528481,495.76,3.27,2.33,1.5,Strong Buy,4.45852332741159,Technology,
AES,The AES Corporation,,,0.027139999,0.10819,0.18742001,2.59603,9.511,-0.341807077232534,-0.134601916300895,-0.236568836730861,-0.252475008688422,0.0477,141071667.1,10533339136,7.692709,6.2070823,2.3830268,-0.00202703988839436,-0.00202703988839436,-0.000676571931789988,0.00887975776151795,0.00407885531593684,0.015572105619499,0.015572105619499,0.015572105619499,14.77,2.29,2.61,3,Hold,1.23934380570401,Utilities,
AFL,Aflac Incorporated,,,0.03088,0.25596002,0.29567,0.48276,38.6,0.64403733770161,-0.0995103680475043,-0.21191829384953,0.0198251049272463,0.0196,245914165.6,63480598528,14.237443,16.502048,2.1252086,0.0138189189019898,0.0218762546618694,0.023049760097448,0.0270092020146024,0.0892576419213974,0.0984605516356639,-0.214239897370109,-0.0664803559974343,124.72,1.98,1.88,3.1,Hold,0.862768245492923,Financial Services,
A,"Agilent Technologies, Inc.",,,0.08613,0.19552,0.23706,0.49733,0.6,0.796861756974391,-0.231670731491791,-0.250806780281292,-0.111496328851443,0.0078,297085139.4,37128503296,26.397593,19.882755,5.209225,-0.0340926223029446,-0.0276626999457252,-0.0210737465754646,0.0185170259561363,-0.0413910738404908,0.407272174045337,0.0269283432222729,0.211895633652822,131.46,3.18,2.02,1.6,Buy,1.32766274090286,Healthcare,
APD,"Air Products and Chemicals, Inc.",,,0.03599,0.16906999,0.23595,1.01611,,-0.295344537329583,-0.174154707196221,-0.217269905995706,0.375737018364493,0.0245,318267448.2,65828864000,31.150684,20.704203,4.2063174,-0.00561743919042447,-0.012625230372554,-0.0130537802398146,-0.0038079191238416,0.0538010165007311,0.217779581895677,-0.0664028144239226,0.12627528583993,295.62,2.42,1.93,1.9,Buy,1.50455847056755,Basic Materials,
ABNB,"Airbnb, Inc.",,,0.06245,0.19902,0.03211,0.33185,0.06,0.436832299653812,-0.106874760391289,-0.0659154528104297,-0.042706515430734,,492502944.6,86639845376,36.133663,24.182486,11.374474,-0.0123139581473519,-0.00382143654831063,-0.017763391225426,0.0211962442563386,0.0927464930141266,0.239895876147418,-0.21222085217153,0.0737772297575011,145.98,2.65,2.56,2.1,Buy,1.49420795694868,Consumer Cyclical,
AKAM,"Akamai Technologies, Inc.",,,0.03393,0.102,0.10611,1.19534,-0.134,-0.309040032824654,-0.52462116056749,-0.514861584538104,-0.3602280872808,,429413630.1,17473878016,40.60473,16.743473,3.5637193,0.0116152046945853,-0.0469431494861608,-0.047547367662444,-0.0504068871786931,-0.250498880378269,0.622431150678093,-0.276146102005159,0.325405025376487,120.19,2.82,2.69,2.1,Buy,2.42510798088306,Technology,
ALB,Albemarle Corporation,,,0.01605,-0.042379998,0.24786,0.19845,,0.0226133510425384,-0.136035795378656,-0.190938845787997,0.161887018106049,0.0134,220249576.8,14244146176,,9.533688,1.8697462,0.0110497315054719,-0.0619029126213592,-0.0418088292278254,-0.0664708962609953,-0.280691980545681,1.15267428382182,-0.310481867858917,0.626212949163769,120.78,3.75,3.67,2,Buy,,Basic Materials,
ARE,"Alexandria Real Estate Equities, Inc.",,,0.01001,-0.36141,0.15890999,0.66509,,-0.360277465152066,-0.35245547585222,-0.340119234226474,-0.185895057566706,0.0573,77000317.2,8751812608,,-57.068184,0.5448805,0.00159554470134433,0.0572631578947368,0.0488721570527082,0.0453788310351185,-0.00762663663109292,0.194743130227001,-0.163679808841099,0.015531660692951,50.22,2.78,3.62,2.9,Hold,,Real Estate,
