Ticker
ASML
SIE
SAN
SU
ALV
SAP
BBVA
IBE
SAF
UCG
AIR
ENR
MC
BNP
AI
ISP
OR
DTE
INGA
CS
IFX
ENEL
ABI
DG
MUV2
ITX
DBK
NDA
DHL
RMS
RHM
EL
PRX
DB1
ENI
BAYN
ARGX
BAS
BN
RACE
SGO
MBG
AD
ADS
ADYEN
BMW
WKL
VOW3
VGU6
-
