Ticker
SIE
ALV
SAP
AIR
ENR
DTE
IFX
MUV2
DBK
DHL
RHM
DB1
BAYN
BAS
EOAN
RWE
MBG
ADS
DTG
HEI
BMW
MTX
MRK
FRE
CBK
VOW3
VNA
HNR1
SHL
SY1
HEN3
G1A
FME
CON
HOT
QIA
BEI
BNR
ZAL
G24
-
