Ticker,Name,Fee,Bought,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Market cap,PE ratio,Forward PE ratio,PB,Price 1D,Price 3D,Price 5D,Price 7D,Price 10D,Price 15D,Price 20D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating Score,Avg Rating Label,Growth,Sector,Note
1332,Nissui Corporation,,,0.036510002,0.02955,0.037320003,0.86984,-0.087,0.0253,0.18435337070679989,-0.27940157676693494,-0.33529716290035616,-0.24580065373410745,1719865875.0,382880710656,14.005991,14.212541,1.2757537,-0.014057008980866849,-0.03145377828922133,-0.02396598376497874,0.014056224899598393,-0.019036519036519036,0.010404161664665866,-0.014057008980866849,-0.04752923425122595,0.5445544554455446,-0.1603960396039604,0.2818482376237624,1262.5,,,,,0.9854670603940562,Consumer Defensive,-
1605,Inpex Corporation,,,0.0841,0.19073999,0.48582,0.26123,-0.107,0.0321,-0.3615015851653872,-0.10384015155308526,-0.27854972000881073,-0.30310549150881594,15014326420.0,3906119925760,10.162675,12.522355,0.7988075,-0.01925882696235775,0.0243828101188662,0.036705737199259715,0.048673946957878314,0.019411586290567183,-0.023986207425589583,-0.04016628330227583,-0.05215090421086992,0.47277595953585244,-0.14311216899732224,0.24502987206188634,3361.0,,,2.3,Buy,0.8115626014435784,Energy,-
1721,COMSYS Holdings Corporation,,,0.05756,0.05757,0.0919,0.00592,0.306,0.0253,0.05288685782073583,-0.03938563756406574,-0.17369290526153325,-0.37792669923856326,2863070720.0,616032174080,17.211658,21.085934,1.538731,-0.0011240164855751218,-0.020752984389348025,-0.021830856723536966,-0.016417635122671095,-0.01277541196074801,-0.016417635122671095,0.004710759374411155,-0.017867010499171117,0.03150787696924231,-0.23105776444111029,-0.08477119279819954,5332.0,,,,,0.8162625378605471,Industrials,-
1801,Taisei Corporation,,,0.045679998,0.081379995,0.09922,0.4708,0.814,0.027200000000000002,-0.20263114436291055,-0.19728607417387212,-0.2161693080935241,-0.15986510462736536,9949000500.0,2273977303040,13.605376,29.306723,2.3985226,-0.0071174377224199285,-0.06186953597848016,-0.04778156996587031,-0.02888966237382527,-0.0035714285714285713,-0.05647615826851539,0.04299065420560748,-0.004282655246252677,0.5842293906810035,-0.24014336917562723,0.1715309677419355,13950.0,,,,,0.46424078188475726,Industrials,-
1802,Obayashi Corporation,,,0.03934,0.06719,0.06892,0.27078,-0.137,0.0291,-0.2510322180683355,-0.3045637428348919,-0.29785951828379126,-0.1424959447014116,7963621500.0,2216934244352,12.936741,23.376339,1.7618676,-0.007386888273314866,-0.0427426536064114,-0.024205748865355523,-0.006775485063135201,0.007183010618363523,-0.01676829268292683,0.04538087520259319,-0.0061633281972265025,0.4573643410852713,-0.06976744186046512,0.2054263565891473,3225.0,,,1.6,Buy,0.5534117639207747,Industrials,-
1803,Shimizu Corporation,,,0.02865,0.061529998,0.07021,0.56674,0.815,0.030899999999999997,-0.38753949074103927,-0.08441228702046169,-0.13828550630206538,-0.2587715721233331,6945700200.0,1692909174784,13.351009,30.351923,1.7310314,0.00020064205457463884,-0.0555134520651762,-0.0409772989611389,-0.02617698769290877,-0.0250342264815177,-0.02446183953033268,0.012799674928890694,-0.07048293865373859,0.3640922768304915,-0.07723169508525576,0.20934226680040127,2492.5,,,2.3,Buy,0.4398735790150759,Industrials,-
1808,HASEKO Corporation,,,0.04435,0.043070003,0.09186,0.75428,0.063,0.0359,-0.04239991877822756,-0.37170505463406966,-0.3850031579404121,-0.15414880587432248,2269699575.0,737960984576,13.623706,13.116797,1.3113824,0.002696871628910464,-0.027889140665853233,-0.012920353982300885,0.005227108868060562,-0.022436459246275197,0.02142857142857143,0.036231884057971016,0.028018433179723502,0.3627398242782858,0.022054868208714364,0.16639770485924332,2788.5,,,2.3,Buy,1.0386457913467746,Consumer Cyclical,-
1812,Kajima Corporation,,,0.04196,0.05781,0.07143,0.58009,0.085,0.0253,-0.2548343051693004,-0.3518919294703323,-0.24722178927680802,-0.20159265088147968,11021414400.0,2657085554688,15.174667,21.611887,1.8966821,-0.009458297506448839,-0.054031860732468386,-0.06005221932114883,-0.03323262839879154,-0.0015600624024961,-0.033719174635128336,0.04328925919217533,-0.02488572879634332,0.5972222222222222,-0.0625,0.27108137152777784,5760.0,,,1.3,Strong Buy,0.7021444726228672,Industrials,-
1925,"Daiwa House Industry Co., Ltd.",,,0.04966,0.06286,0.16343,1.0625,0.426,0.0291,-0.3029462475098044,-0.2810260148143625,-0.1382760873985107,0.10391343945494673,10579862700.0,2790777946112,7.955508,9.572773,0.9634194,-0.003097345132743363,-0.015297202797202798,0.0006662225183211193,0.02618993395581872,0.018535262206148283,0.032775613110245246,0.04790697674418604,0.03968620212275035,0.3759431868619618,0.020861074123391034,0.1478521970705725,4506.0,,,2.6,Hold,0.83105574528927,Real Estate,-
1928,"Sekisui House, Ltd.",,,0.04611,0.06105,0.083739996,0.84768,0.752,0.042300000000000004,0.040109092170740844,-0.0878495542176686,-0.04254977222934256,0.2354363494373258,9975863350.0,2239662915584,8.710889,9.153288,1.0370433,-0.0057553956834532375,-0.018465909090909092,0.002902757619738752,0.02735652691049658,0.0344311377245509,0.05625191073066341,0.05047126786257221,0.03042051893826424,0.2590448625180897,-0.015918958031837915,0.10789516642547028,3455.0,,,2.0,Buy,0.9516677504302279,Consumer Cyclical,-
1963,JGC Holdings Corporation,,,0.02726,0.05614,0.048699997,0.08159000000000001,2.338,0.0223,-0.06384272915198753,-0.01851049741160824,-0.16243045064602296,-0.38248560149053035,3832648920.0,564842332160,13.513279,19.174877,1.315367,0.00042835724994645533,-0.05598221503637833,-0.06336474834569882,-0.059214501510574016,-0.08123524783634933,-0.14041221935958778,-0.07996848532597992,-0.1440351841671248,0.4557910511667737,-0.22928709055876687,0.10468850353243417,2335.5,,,,,0.704738757907026,Industrials,-
2002,Nisshin Seifun Group Inc.,,,0.0356,0.03767,0.043530002,0.17003000000000001,1.393,0.032400000000000005,-0.0678021978021978,-0.22166191184152373,-0.24098588282925157,-0.13864607811807572,1524182660.0,560207298560,17.66755,15.719891,1.0839334,-0.01547911547911548,-0.01741049534085336,0.003254882323485228,0.030606995884773662,0.004512409125094008,0.04186167446697868,0.018556176919166244,0.01959287531806616,0.07312203643623659,-0.0017469428500124782,0.04317444472173696,2003.5,,,3.0,Hold,1.1238977420390508,Consumer Defensive,Momentum
2269,"Meiji Holdings Co., Ltd.",,,0.04768,0.02989,0.07977,0.13771,,0.0292,0.1136338877805995,-0.20454911292298006,-0.3164677399181661,-0.14326514555974684,3163378770.0,1022325489664,29.153458,18.008596,1.3232511,-0.01899063475546306,-0.02959341224909933,-0.012310110005238345,-0.004224980195405334,-0.003961965134706815,0.05305780508237922,0.011805741883552455,0.0007961783439490446,0.3259082471492973,-0.045346062052505964,0.13438822593476538,3771.0,,,2.3,Buy,1.6188634583173502,Consumer Defensive,-
2282,NH Foods Ltd.,,,0.03559,0.02406,0.0044299997,0.41426999999999997,,0.0292,-0.1475477625435502,-0.08754036649914963,-0.1382210868403188,-0.04350342468278377,3277783940.0,580426072064,17.064734,17.92494,1.0809902,-0.008681672025723473,-0.024367088607594938,0.00801046264508746,0.03300385324174904,0.01231324905598424,0.04014844804318488,0.016317784737102357,0.00982640026203734,0.31365553032760296,0.005514109633473889,0.10079468050600066,6166.0,,,2.6,Hold,0.9520106622393159,Consumer Defensive,Momentum
2413,"M3, Inc.",,,0.07247,0.13974,0.117860004,0.13544,-0.054,0.0118,-0.5502380211289526,-0.45203660609815494,-0.45563989107373076,-0.306328136291451,6284265900.0,1248093405184,25.771776,26.099092,3.057404,-0.0026666666666666666,-0.028319043907508445,0.005106154259607632,0.05263157894736842,0.05859043305972261,0.14198473282442747,0.16149068322981366,0.31320224719101125,0.7647058823529411,-0.1443850267379679,0.1541889304812833,1870.0,,,1.8,Buy,0.9874587207861484,Healthcare,Momentum
