Ticker,Name,Fee,Bought,Market cap,PE ratio,Forward PE ratio,PB,ROA,Net Margin,Operating Margin,Debt To Equity,Earnings Growth,Dividend yield,Vol 1D,Vol 3D,Vol 5D,Vol 30D,Avg Volume,Price 1D,Price 3D,Price 5D,Price 30D,Target high %,Target low %,Target mean %,Current price,Avg Rating 1D,Avg Rating 7D,Avg Rating,Score,Sector,Note
1306,NEXT FUNDS TOPIX Exchange Traded Fund,'0.09%,,,18.18158,,,,,,,,0.0166,-0.14493151180207792,-0.04501684940380307,0.18803440742046018,0.33709552470713444,9242826920.0,-0.009946768249801667,0.01158117188796623,0.03833087657705614,0.054446923961156135,,,,428.0,2.38,1.7,,0.0,,
1309,NEXT FUNDS ChinaAMC SSE50 Index Exchange Traded Fund,'1.26%,,,14.114861,,,,,,,,0.0,-0.7444743130227002,-0.3335625859697386,-0.19807965860597437,0.12477427121850547,4796220.0,0.004321988114532685,0.015292190060076462,0.01751505199781062,0.01956124314442413,,,,55770.0,2.11,2.16,,0.0,,
1311,NEXT FUNDS TOPIX Core 30 Exchange Traded Fund,'0.24%,,,18.16188,,,,,,,,0.0121,0.01690407296360545,0.46963660828526954,0.6187508485394199,0.543513214592534,50449475.0,-0.02122641509433962,0.0,0.035429141716566866,0.0437625754527163,,,,2075.0,2.29,1.7,,0.0,,
1319,NEXT FUNDS Nikkei 300 Index Exchange Traded Fund,'0.26%,,,18.857094,,,,,,,,0.0204,1.751295336787565,0.3940217391304348,3.5517241379310343,0.663560111835974,4413800.0,0.0,0.03537414965986395,0.057678943710910355,0.0496551724137931,,,,761.0,1.88,1.88,,0.0,,
1321,NEXT FUNDS Nikkei 225 Exchange Traded Fund,'0.15%,,,24.153898,,,,,,,,0.0104,-0.22987971573357474,-0.01157930169119565,0.21738200663410415,0.16890141232771574,41782667480.0,0.0,0.024941435855036515,0.07656679693153857,0.13384146341463415,,,,74380.0,2.2,1.7,,0.0,,
1325,NEXT FUNDS Ibovespa Linked Exchange Traded Fund,'1.31%,,,11.783227,,,,,,,,0.0351,-0.6033032271660141,-0.809646058179311,-0.5535911583427672,-0.36209989447443625,9641966.4,-0.013062887508469888,-0.03006756756756749,-0.018461538461538383,-0.12496191813717947,,,,287.1,3.76,3.0,,0.0,,
1328,NEXT FUNDS Gold Price Exchange Traded Fund,'0.58%,,,,,,,,,,,0.0,-0.10187557871616529,-0.4388773270393205,-0.3844451930945228,-0.23950438550680356,767522450.0,-0.032090464547677264,-0.03179455823907062,-0.0006311139160618492,-0.09900426742532005,,,,15835.0,4.21,3.13,,0.0,,
1329,iShares Core Nikkei 225 ETF,'0.0495%,,,24.21303,,,,,,,,0.0125,-0.3727838132691165,-0.10021239376058674,-0.055935716940333294,0.11991310607907175,6868702200.0,0.000405569825604975,0.024079712150567395,0.07667685144769387,0.1354917907012429,,,,7400.0,2.2,1.7,,0.0,,
1343,NEXT FUNDS REIT INDEX ETF,'0.2%,,,20.358063,,,,,,,,0.0473,-0.6741657452101879,0.11757535206178292,-0.07029220070451124,0.2686568929889951,1759807832.0,0.0018367882445552348,-0.0036534446764091857,-0.018508997429305913,-0.034297878972796375,,,,1909.0,3.71,3.89,,0.0,,
1357,NEXT FUNDS Nikkei 225 Double Inverse Index ETF,'0.93%,,,,,,,,,,,0.0,0.005720909784581357,0.4690505613577922,0.40703944774513257,0.13765792699124466,30126620928.0,0.000791765637371338,-0.04819277108433735,-0.1430508474576271,-0.24896019013666074,,,,2528.0,3.71,4.12,,0.0,,
