No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,株数（※） No. of Shares（※）,先物取引評価額(売建）（円） Valuation (yen),純資産比率 % of NAV
1,-,-,ＪＰＸ日経インデックス４００　２６０９,JPX-Nikkei 400 Futures 2609,-63,228312000,2.019581444593926
,,,,,,,
,,,合計（Total）,,,228312000,2.019581444593926
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,113049167,1
,,,,,,,
※先物が組み入れられている場合は枚数です。枚数のマイナス表示は売建を表します。,,,,,,,
※Note: Figure refers to the number of futures contracts; negative figure shows that the ETF has short positions in given number of futures contracts.,,,,,,,
1472,NEXT FUNDS JPX日経400ダブルインバース・インデックス連動型上場投信　（NEXT FUNDS JPX-Nikkei 400 Double Inverse Index Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3048080000,,
