Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
ROL,ROLLINS INC,US7757111049,XNYS,USD,58,36.38
NOW,SERVICENOW INC,US81762P1021,XNYS,USD,228,129.75
SNPS,SYNOPSYS INC,US8716071076,XNAS,USD,25,397.92
VRSK,VERISK ANALYTICS INC,US92345Y1064,XNAS,USD,40,187.68
YUM,YUM! BRANDS,US9884981013,XNYS,USD,68,152.33
MAR,MARRIOTT INTERNATIONAL -CL A,US5719032022,XNAS,USD,51,356.6
REGN,REGENERON PHARMACEUTICALS,US75886F1075,XNAS,USD,24,826.64
HLT,HILTON WORLDWIDE HOLDINGS INC,US43300A2033,XNYS,USD,58,329.46000000000004
NDAQ,NASDAQ INC,US6311031081,XNAS,USD,94,97.55
TTD,TRADE DESK INC/THE -CLASS A,US88339J1051,XNAS,USD,126,13.32
CHKP,CHECK POINT SOFTWARE TECH L ORD,IL0010824113,XNAS,USD,29,130.32
IHG,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,XLON,USD,57,159.8
ZIM,ZIM INTEGRATED SHIPPING SERVICES LTD,IL0065100930,XNYS,USD,57,27.16
,nan,CASHUSDJPY01,,USD,62206.17,0.006283775
,nan,CASHSGDJPY01,,SGD,391.62,0.007989773
,nan,CASHSEKJPY01,,SEK,506.45,0.059559261
,nan,CASHNOKJPY01,,NOK,873.25,0.058719906
,nan,CASHHKDJPY01,,HKD,3806.42,0.049285362
,nan,CASHGBPJPY01,,GBP,627.55,0.004606808
,nan,CASHEURJPY01,,EUR,5182.72,0.005378078
,nan,CASHDKKJPY01,,DKK,12276.79,0.040209087
,nan,CASHCHFJPY01,,CHF,2786.3,0.005029422
,nan,CASHCADJPY01,,CAD,1180.06,0.008658008
,nan,CASHAUDJPY01,,AUD,3356.58,0.008821453
,SP500 MIC EMIN FUTSep26,,CME,USD,2.0,7662.5
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
564A,Global X S&P Developed Cash Flow Top 100 ETF,-30259.3085842,550000,20260824,,
,,,,,,
