No.,種別 （Sector）,Sector,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量 Quantity,単価 Price,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
809,地方債証券,Municipal Bond,B.0161.3601,JP2121001Q40,千葉市　公募令和６年度第１回,CHIBA CITY,22120790.6493,87.63200000000002,19384891.261788003,9.293368649853638e-05,0.846,7.26461709122629,2034-03-17 00:00:00,MOTHER FUND
810,地方債証券,Municipal Bond,B.0108.3213,JP2230001LB9,愛知県　公募令和２年度第１３回,AICHI PREFECTURE,29494387.5324,65.68500000000002,19373388.4506504,9.287854052791022e-05,0.454,13.4784790856408,2040-11-22 00:00:00,MOTHER FUND
811,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0928.22,JP391160AL28,民間都市開発推進機構　政府保証第２２回,ORG PROMOTING URBAN DEV,29494387.5324,65.67000000000002,19368964.2925205,9.28573305392076e-05,0.245,13.0482062454138,2040-02-28 00:00:00,MOTHER FUND
812,地方債証券,Municipal Bond,B.0128.245,JP2990001P80,共同発行市場地方債　公募第２４５回,MAJOR JOINT LOCAL BOND,21796352.3864,88.748,19343826.815914404,9.273681821139896e-05,0.778,6.7660715254072,2033-08-25 00:00:00,MOTHER FUND
813,地方債証券,Municipal Bond,B.0110.8027,JP2110002LC0,埼玉県　公募（２０年）第２７回,SAITAMA PREFECTURE,29494387.5324,65.397,19288444.6145571,9.24713087448236e-05,0.44,13.5458307583316,2040-12-11 00:00:00,MOTHER FUND
814,地方債証券,Municipal Bond,B.0104.7020,JP2270004LC2,大阪府　公募（２０年）第２０回,OSAKA PREFECTURE,29494387.5324,65.121,19207040.1049677,9.208104495269901e-05,0.425,13.6010095666664,2040-12-25 00:00:00,MOTHER FUND
815,地方債証券,Municipal Bond,B.0110.7019,JP2110002H92,埼玉県　公募（２５年）第２回,SAITAMA PREFECTURE,29494387.5324,65.04100000000001,19183444.5949418,9.196792501295281e-05,0.781,14.556304179434,2042-09-19 00:00:00,MOTHER FUND
816,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0906.7092,JP351265BM40,地方公共団体金融機構債券　第９０回,JAPAN FIN ORG MUNICIPAL,29494387.5324,65.022,19177840.661310703,9.194105902726335e-05,0.501,13.7839499848211,2041-04-26 00:00:00,MOTHER FUND
817,地方債証券,Municipal Bond,B.0104.458,JP2270001L73,大阪府　公募第４５８回,OSAKA PREFECTURE,20646071.2727,92.778,19155012.005360603,9.183161548555871e-05,0.1,3.95339593669203,2030-07-30 00:00:00,MOTHER FUND
818,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5115,JP339170BGB0,貸付債権担保第１１５回住宅金融支援機構債,KIKO 115 1,25257518.7634,75.44900000000001,19056545.2875276,9.135955325100438e-05,0.41,0.328100824823452,2051-12-10 00:00:00,MOTHER FUND
819,地方債証券,Municipal Bond,B.0108.3304,JP2230001M68,愛知県　公募令和３年度第４回,AICHI PREFECTURE,29494387.5324,64.579,19047180.524542205,9.131465736091841e-05,0.481,13.9333305510614,2041-06-11 00:00:00,MOTHER FUND
820,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0905.9043,JP374060F544,日本高速道路保有・債務返済機構承継　財投,JAPAN EXPRESSWAY HOLDING,19171351.8961,99.14500000000001,19007436.8373423,9.112412096240827e-05,2.66,7.44471656747138,2034-12-20 00:00:00,MOTHER FUND
821,地方債証券,Municipal Bond,B.0104.467,JP2270001M49,大阪府　公募第４６７回,OSAKA PREFECTURE,20646071.2727,91.21500000000002,18832313.9113687,9.028455890960387e-05,0.164,4.67471548845488,2031-04-28 00:00:00,MOTHER FUND
822,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0903.7147,JP372155DM70,日本政策投資銀行社債　財投機関債第１４７,DEVELOPMENT BK OF JAPAN,29494387.5324,63.74100000000001,18800017.5570207,9.012972599207602e-05,0.443,14.0647382846812,2041-07-12 00:00:00,MOTHER FUND
823,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5198,JP339170BPA3,貸付債権担保第１９８回住宅金融支援機構債,KIKO 198 1,25196760.325,74.415,18750169.092652205,8.989074597936957e-05,1.18,0.322223452704052,2058-11-10 00:00:00,MOTHER FUND
824,地方債証券,Municipal Bond,B.0111.9039,JP2400001M91,福岡県　公募（２０年・定時償還）令和３年,FUKUOKA PREFECTURE,29494387.5324,63.512,18732475.409571603,8.980592016455272e-05,0.449,14.1925011794375,2041-09-20 00:00:00,MOTHER FUND
825,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0905.7083,JP370620CC41,日本高速道路保有・債務返済機構債券　財投,JAPAN EXP HLD/DEBT REPAY,19171351.8961,97.688,18728110.240216803,8.978499297569964e-05,1.9,5.2696644273664,2032-03-19 00:00:00,MOTHER FUND
826,地方債証券,Municipal Bond,B.0158.3304,JP2401301M70,福岡市　公募（２０年）２０２１年度第４回,FUKUOKA CITY,29494387.5324,63.315000000000005,18674371.466132805,8.952736231292762e-05,0.4,14.1686690472966,2041-07-29 00:00:00,MOTHER FUND
827,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0943.6402,JP339170BJ85,住宅金融支援機構債券　財投機関債第２４４,JPN HOUSING FIN AGENCY,19171351.8961,97.14,18623051.231826402,8.92813264439793e-05,0.274,2.02511858217675,2028-08-18 00:00:00,MOTHER FUND
828,地方債証券,Municipal Bond,B.0109.3504,JP2340001PB7,広島県　公募令和５年度第４回,HIROSHIMA PREFECTURE,20646071.2727,89.411,18459858.7856097,8.849896066070931e-05,0.977,6.95938611072387,2033-11-24 00:00:00,MOTHER FUND
829,普通社債券（含む投資法人債券）,Corporate bond(incl investment corporation bond),B.9509.325,JP385020BFA4,北海道電力　第３２５回,HOKKAIDO ELECTRIC POWER,19171351.8961,95.65000000000002,18337398.0885752,8.791186817342617e-05,1.264,4.07306252946407,2030-10-25 00:00:00,MOTHER FUND
830,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5195,JP339170CP78,貸付債権担保第１９５回住宅金融支援機構債,KIKO 195 1,25194695.7179,72.477,18260359.4857003,8.754253510515284e-05,0.93,0.313748224568329,2058-08-10 00:00:00,MOTHER FUND
831,普通社債券（含む投資法人債券）,Corporate bond(incl investment corporation bond),B.9503.542,JP322860CM98,関西電力　第５４２回,KANSAI ELECTRIC POWER CO,29494387.5324,61.781000000000006,18221927.561385944,8.735828746829317e-05,0.6,13.928535885271,2041-09-20 00:00:00,MOTHER FUND
832,地方債証券,Municipal Bond,B.0103.7029,JP2140001F76,神奈川県　公募（２０年）第２９回,KANAGAWA PREFECTURE,20646071.2727,87.93600000000002,18155329.2343378,8.703900643835933e-05,1.289,8.25755678997386,2035-06-20 00:00:00,MOTHER FUND
833,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5063,JP339170AC83,貸付債権担保第６３回住宅金融支援機構債券,KIKO 63 1,19980382.9461,90.59500000000001,18101227.826759,8.677963726351289e-05,1.11,0.398147551489848,2047-08-10 00:00:00,MOTHER FUND
834,地方債証券,Municipal Bond,B.0104.451,JP2270001KC0,大阪府　公募第４５１回,OSAKA PREFECTURE,19171351.8961,94.00300000000001,18021645.9228472,8.639811127973424e-05,0.063,3.37020154416223,2029-12-26 00:00:00,MOTHER FUND
835,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5194,JP339170CP60,貸付債権担保第１９４回住宅金融支援機構債,KIKO 194 1,24678838.88,72.649,17928929.5782794,8.595361708149548e-05,0.94,0.314516576768457,2058-07-10 00:00:00,MOTHER FUND
836,地方債証券,Municipal Bond,B.0128.263,JP2990001R21,共同発行市場地方債　公募第２６３回,MAJOR JOINT LOCAL BOND,19761239.6467,89.323,17651332.089623,8.462277866537143e-05,1.38,7.90481116935572,2035-02-22 00:00:00,MOTHER FUND
837,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.104,JP339170DDC1,貸付債権担保第８０回住宅金融支援機構債券,KIKO 80 1,19871843.5999,88.102,17507491.648426,8.393318890768402e-05,1.07,0.386282307867306,2049-01-10 00:00:00,MOTHER FUND
838,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5186,JP339170ANA0,貸付債権担保第１８６回住宅金融支援機構債,KIKO 186 1,24452321.9837,70.96500000000002,17352590.2220166,8.319057135024204e-05,0.74,0.30714659435499,2057-11-10 00:00:00,MOTHER FUND
839,地方債証券,Municipal Bond,B.0100.6041,JP2130003LA8,東京都　公募（３０年）第４回,TOKYO METROPOLITAN GOVT,36867984.4155,46.897000000000006,17289978.6513312,8.289040334812754e-05,0.688,20.5459006774813,2050-09-20 00:00:00,MOTHER FUND
840,地方債証券,Municipal Bond,B.0104.464,JP2270001M15,大阪府　公募第４６４回,OSAKA PREFECTURE,18876408.0207,91.432,17259077.3815135,8.274225864703726e-05,0.072,4.44288078132401,2031-01-28 00:00:00,MOTHER FUND
841,地方債証券,Municipal Bond,B.0100.822,JP2130002MC4,東京都　公募第８２２回,TOKYO METROPOLITAN GOVT,19171351.8961,89.829,17221433.6947059,8.256178992316454e-05,0.095,5.06722510250286,2031-09-19 00:00:00,MOTHER FUND
842,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5066,JP339170ACB1,貸付債権担保第６６回住宅金融支援機構債券,KIKO 66 1,18821106.0441,88.719,16697896.960666802,8.00518868210736e-05,1.12,0.389135448177454,2047-11-10 00:00:00,MOTHER FUND
843,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5181,JP339170DN53,貸付債権担保第１８１回住宅金融支援機構債,KIKO 181 1,23730299.3769,69.659,16530289.2046365,7.924835346907859e-05,0.5,0.301558200702727,2057-06-10 00:00:00,MOTHER FUND
844,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0905.8333,JP370620AHC2,日本高速道路保有・債務返済機構債券　政府,JAPAN EXP HLD/DEBT REPAY,16811800.8935,98.18200000000002,16506162.353219202,7.913268620968922e-05,0.155,1.39955884257637,2027-12-28 00:00:00,MOTHER FUND
845,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.9999.5180,JP339170EN45,貸付債権担保第１８０回住宅金融支援機構債,KIKO 180 1,23341268.4054,70.19600000000001,16384636.628269501,7.855007610001863e-05,0.5,0.303988512229387,2057-05-10 00:00:00,MOTHER FUND
846,特殊債券（除く金融債）,Government guaranteed bond(excl Bank Debenture),B.0903.8067,JP372155AL90,日本政策投資銀行社債　政府保証第６７回,DEVELOPMENT BK OF JAPAN,17696632.5194,92.55500000000002,16379118.228362203,7.852362017411053e-05,0.105,4.08093332376835,2030-09-17 00:00:00,MOTHER FUND
