Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,Global X Future Analytics TE,US37954Y6326,XNAS,USD,207200,62.99
,nan,CASHUSDJPY01,,USD,11057.87,0.006309944
ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date,,
223A,Global X Artificial Intelligence & Technology ETF,76899.0,1160000,20260821,,
,,,,,,
