Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
ALB,ALBEMARLE CORP,US0126531013,XNYS,USD,167.961651,134.19
ABT,ABBOTT LABORATORIES,US0028241000,XNYS,USD,196.159357,114.14
ABBV,ABBVIE INC,US00287Y1091,XNYS,USD,77.890121,261.83
AFL,AFLAC INC,US0010551028,XNYS,USD,159.647356,116.17
APD,AIR PRODUCTS & CHEMICALS INC,US0091581068,XNYS,USD,66.417682,300.33
AMCR,AMCOR PLC,JE00BV7DQ550,XNYS,USD,456.577259,47.81
AOS,SMITH (A.O.) CORP,US8318652091,XNYS,USD,332.410674,62.43
ADM,ARCHER-DANIELS-MIDLAND CO,US0394831020,XNYS,USD,225.936135,81.7
ATO,ATMOS ENERGY CORP,US0495601058,XNYS,USD,110.535008,169.52
ADP,AUTOMATIC DATA PROCESSING,US0530151036,XNAS,USD,81.144942,279.21
BDX,BECTON DICKINSON AND CO,US0758871091,XNYS,USD,128.807122,187.62
BRO,BROWN & BROWN INC,US1152361010,XNYS,USD,301.699343,72.08
BF.B,BROWN-FORMAN CORP-CLASS B,US1156372096,XNYS,USD,747.029746,28.41
CAH,CARDINAL HEALTH INC,US14149Y1082,XNYS,USD,89.459237,228.46
CAT,CATERPILLAR INC,US1491231015,XNYS,USD,22.171453,815.39
CVX,CHEVRON CORP,US1667641005,XNYS,USD,102.220713,205.77
CB,CHUBB LTD,CH0044328745,XNYS,USD,57.491094,342.87
CHD,CHURCH & DWIGHT CO INC,US1713401024,XNYS,USD,203.120162,97.41
CINF,CINCINNATI FINANCIAL CORP,US1720621010,XNAS,USD,110.083845,168.19
CTAS,CINTAS CORP,US1729081059,XNAS,USD,97.966888,203.52
CLX,CLOROX COMPANY,US1890541097,XNYS,USD,206.020498,106.04
KO,COCA-COLA CO/THE,US1912161007,XNYS,USD,240.018875,90.5
CL,COLGATE-PALMOLIVE CO,US1941621039,XNYS,USD,215.301571,89.7
ED,CONSOLIDATED EDISON INC,US2091151041,XNYS,USD,176.018138,108.31
DOV,DOVER CORP,US2600031080,XNYS,USD,91.972861,199.88
ECL,ECOLAB INC,US2788651006,XNYS,USD,73.926329,281.48
EMR,EMERSON ELECTRIC CO,US2910111044,XNYS,USD,141.278564,154.72
EXPD,EXPEDITORS INTL WASH INC,US3021301094,XNYS,USD,111.179527,186.4
BEN,FRANKLIN RESOURCES INC,US3546131018,XNYS,USD,609.296036,33.97
GD,GENERAL DYNAMICS CORP,US3695501086,XNYS,USD,52.882783,386.07
GPC,GENUINE PARTS CO,US3724601055,XNYS,USD,163.901181,132.92
HRL,HORMEL FOODS CORP,US4404521001,XNYS,USD,782.574969,24.08
ITW,ILLINOIS TOOL WORKS,US4523081093,XNYS,USD,72.024998,282.74
IBM,INTERNATIONAL BUSINESS MACHINES CORP,US4592001014,XNYS,USD,95.872201,233.69
JNJ,JOHNSON & JOHNSON,US4781601046,XNYS,USD,77.18115,267.37
KMB,KIMBERLY-CLARK CORP,US4943681035,XNAS,USD,181.206516,108.69
LOW,LOWES COS INC,US5486611073,XNYS,USD,96.548946,217.34
