No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
75,SKT,US8754651060,TANGER INC,アメリカ,US,アメリカ・ドル,USD,17350.4284,114330994.82563,0.0026515119961712194,MOTHER FUND
76,GFC,FR0010040865,GECINA SA,フランス,FR,ユーロ,EUR,7818.103,109270186.13355702,0.0025341440420322344,MOTHER FUND
77,DXS,AU000000DXS1,DEXUS/AU,オーストラリア,AU,オーストラリア・ドル,AUD,160664.9668,107831995.59171602,0.00250079018658571,MOTHER FUND
78,MRP,US6011371027,MILLROSE PROPERTIES-CL A,アメリカ,US,アメリカ・ドル,USD,23284.2749,105606257.30736601,0.00244917188508932,MOTHER FUND
79,CDP,US22002T1088,COPT DEFENSE PROPERTIES,アメリカ,US,アメリカ・ドル,USD,17038.1207,105016364.95095801,0.002435491372102872,MOTHER FUND
80,KRC,US49427F1084,KILROY REALTY CORP,アメリカ,US,アメリカ・ドル,USD,16135.8984,102541517.19711101,0.0023780958380394206,MOTHER FUND
81,COLD,US03064D1081,AMERICOLD REALTY TRUST INC,アメリカ,US,アメリカ・ドル,USD,43063.7632,100080668.11589001,0.002321024954771276,MOTHER FUND
82,BNL,US11135E2037,BROADSTONE NET LEASE INC-A,アメリカ,US,アメリカ・ドル,USD,28940.5145,100003369.18138401,0.002319232273333959,MOTHER FUND
83,IRT,US45378A1060,INDEPENDENCE REALTY TRUST IN,アメリカ,US,アメリカ・ドル,USD,35498.9765,95223050.984605,0.0022083693261199834,MOTHER FUND
84,SHC,GB00B62G9D36,SHAFTESBURY CAPITAL PLC,イギリス,GB,イギリス・ポンド,GBP,293222.2396,92611839.96795651,0.0021478113178061624,MOTHER FUND
85,SLG,US78440X8873,SL GREEN REALTY CORP,アメリカ,US,アメリカ・ドル,USD,10722.5647,92387753.6332779,0.002142614410305405,MOTHER FUND
86,HIW,US4312841087,HIGHWOODS PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,16656.4112,90483222.44151331,0.0020984453963844834,MOTHER FUND
87,NHI,US63633D1046,NATL HEALTH INVESTORS INC,アメリカ,US,アメリカ・ドル,USD,7314.9406,89432247.30899821,0.0020740716631217626,MOTHER FUND
88,APLE,US03784Y2000,APPLE HOSPITALITY REIT INC,アメリカ,US,アメリカ・ドル,USD,33139.3182,88467371.94228141,0.002051694716139349,MOTHER FUND
89,UTG,GB0006928617,UNITE GROUP PLC,イギリス,GB,イギリス・ポンド,GBP,73912.8249,87303005.1671332,0.002024691255905689,MOTHER FUND
90,LXP,US5290434084,LXP INDUSTRIAL TRUST,アメリカ,US,アメリカ・ドル,USD,8883.4193,86706841.67189111,0.0020108653055435446,MOTHER FUND
91,KDCREIT,SG1AF6000009,KEPPEL DC REIT,シンガポール,SG,シンガポール・ドル,SGD,298896.1767,83470613.0505942,0.0019358121755956382,MOTHER FUND
92,COV,FR0000064578,COVIVIO,フランス,FR,ユーロ,EUR,8154.7013,81518308.84231651,0.0018905352317859672,MOTHER FUND
93,PHP,GB00BYRJ5J14,PRIMARY HEALTH PROPERTIES,イギリス,GB,イギリス・ポンド,GBP,387608.57,80874638.48613282,0.00187560752409302,MOTHER FUND
94,MLT,SG1S03926213,MAPLETREE LOGISTICS TRUST,シンガポール,SG,シンガポール・ドル,SGD,511483.6885,80066377.8022234,0.0018568627130058086,MOTHER FUND
95,MINT,SG2C32962814,MAPLETREE INDUSTRIAL TRUST,シンガポール,SG,シンガポール・ドル,SGD,318553.8651,76992525.9409992,0.0017855753504063701,MOTHER FUND
96,DLN,GB0002652740,DERWENT LONDON PLC,イギリス,GB,イギリス・ポンド,GBP,16691.1121,76404280.1402445,0.0017719330235834712,MOTHER FUND
97,PK,US7005171050,PARK HOTELS & RESORTS INC,アメリカ,US,アメリカ・ドル,USD,30397.9505,73576512.52782622,0.0017063527340202887,MOTHER FUND
98,AKR,US0042391096,ACADIA REALTY TRUST,アメリカ,US,アメリカ・ドル,USD,20161.1978,72680101.95150112,0.0016855635910565127,MOTHER FUND
99,CURB,US23128Q1013,CURBLINE PROPERTIES CORP,アメリカ,US,アメリカ・ドル,USD,14643.7616,71971417.1111135,0.001669128097263615,MOTHER FUND
100,UE,US91704F1049,URBAN EDGE PROPERTIES,アメリカ,US,アメリカ・ドル,USD,19016.0695,69713351.8556133,0.0016167600834784853,MOTHER FUND
101,FCPT,US35086T1097,FOUR CORNERS PROPERTY TRUST,アメリカ,US,アメリカ・ドル,USD,16864.6164,69225688.57023512,0.0016054504202218628,MOTHER FUND
102,IVT,US46124J2015,INVENTRUST PROPERTIES CORP,アメリカ,US,アメリカ・ドル,USD,11971.7956,67728565.9103635,0.0015707298381221128,MOTHER FUND
103,HMSO,GB00BRJQ8J25,HAMMERSON PLC,イギリス,GB,イギリス・ポンド,GBP,81547.0134,65060249.08177571,0.0015088474580083344,MOTHER FUND
104,DRH,US2527843013,DIAMONDROCK HOSPITALITY CO REIT,アメリカ,US,アメリカ・ドル,USD,30849.0617,64008569.86887701,0.0014844573960362708,MOTHER FUND
105,SUN,SG1Q52922370,SUNTEC REIT,シンガポール,SG,シンガポール・ドル,SGD,330352.1564,62055000.81437041,0.0014391511184929575,MOTHER FUND
106,FCT,SG1T60930966,FRASERS CENTREPOINT TRUST,シンガポール,SG,シンガポール・ドル,SGD,209102.8517,59703966.4114673,0.0013846270068798624,MOTHER FUND
107,MPACT,SG2D18969584,MAPLETREE PAN ASIA COMMERCIAL TRUST,シンガポール,SG,シンガポール・ドル,SGD,348298.0515,59319616.2518842,0.0013757133342539992,MOTHER FUND
108,LINE,US53566V1061,LINEAGE INC,アメリカ,US,アメリカ・ドル,USD,8605.8125,59266957.00773051,0.0013744920852147885,MOTHER FUND
109,BYG,GB0002869419,BIG YELLOW GROUP PLC,イギリス,GB,イギリス・ポンド,GBP,29287.5231,56166599.93809431,0.0013025900259779892,MOTHER FUND
110,MPT,US58463J3041,MEDICAL PROPERTIES TRUST INC,アメリカ,US,アメリカ・ドル,USD,73912.8249,55713772.49581101,0.0012920882596175994,MOTHER FUND
111,KREIT,SG1T22929874,KEPPEL REIT,シンガポール,SG,シンガポール・ドル,SGD,478899.584,55474650.2798974,0.0012865426468551726,MOTHER FUND
112,FLT,SG1CI9000006,FRASERS LOGISTICS & COMMERCIAL TRUST,シンガポール,SG,シンガポール・ドル,SGD,440612.7407,55177933.66398131,0.0012796613311825088,MOTHER FUND
113,COL,ES0139140174,COLONIAL SFL SOCIMI SA,スペイン,ES,ユーロ,EUR,52051.2851,54393717.8977396,0.0012614741587980841,MOTHER FUND
114,REI-U,CA7669101031,RIOCAN REAL ESTATE INVST TR,カナダ,CA,カナダ・ドル,CAD,21167.5226,54249703.79003961,0.001258134249661749,MOTHER FUND
115,SHO,US8678921011,SUNSTONE HOTEL INVESTORS INC,アメリカ,US,アメリカ・ドル,USD,28107.694,52854382.3396339,0.001225774594522665,MOTHER FUND
116,SRE,GG00B1W3VF54,SIRIUS REAL ESTATE LTD REIT,GUERNSEY,GG,イギリス・ポンド,GBP,243253.0059,52491365.572771,0.0012173556761565976,MOTHER FUND
117,PEB,US70509V1008,PEBBLEBROOK HOTEL TRUST,アメリカ,US,アメリカ・ドル,USD,17419.8301,52382669.30306641,0.0012148348421211696,MOTHER FUND
118,NTST,US64119V3033,NETSTREIT CORP,アメリカ,US,アメリカ・ドル,USD,14678.4624,50933454.299032,0.0011812253124036242,MOTHER FUND
119,GRT-U,CA3874372053,GRANITE REAL ESTATE INVESTME,カナダ,CA,カナダ・ドル,CAD,4580.5131,50633853.00089341,0.0011742770965038629,MOTHER FUND
120,LTC,US5021751020,LTC PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,7738.2911,50121035.064448304,0.0011623840581164182,MOTHER FUND
121,DEI,US25960P1093,DOUGLAS EMMETT INC,アメリカ,US,アメリカ・ドル,USD,25262.2237,48884141.06960731,0.0011336985798669293,MOTHER FUND
122,DHC,US25525P1075,DIVERSIFIED HEALTHCARE TRUST,アメリカ,US,アメリカ・ドル,USD,32896.4122,47425388.88210041,0.001099867868164345,MOTHER FUND
123,GTY,US3742971092,GETTY REALTY CORP,アメリカ,US,アメリカ・ドル,USD,8397.6073,46212476.649367705,0.0010717385639428738,MOTHER FUND
124,CAR-U,CA1349211054,CAN APARTMENT PROP REAL ESTA,カナダ,CA,カナダ・ドル,CAD,11485.9836,46111591.8895289,0.0010693988908616467,MOTHER FUND
125,SMA,US83192D4025,SMARTSTOP SELF STORAGE REIT,アメリカ,US,アメリカ・ドル,USD,8536.4108,46043378.3333401,0.001067816913351419,MOTHER FUND
126,GPE,GB00BF5H9P87,GREAT PORTLAND ESTATES PLC,イギリス,GB,イギリス・ポンド,GBP,60032.4822,45947393.334476106,0.0010655908732795337,MOTHER FUND
127,RGN,AU0000253502,REGION GROUP,オーストラリア,AU,オーストラリア・ドル,AUD,170034.1981,45917072.072845906,0.0010648876764860996,MOTHER FUND
128,CLAS,SGXC16332337,CAPITALAND ASCOTT TRUST,シンガポール,SG,シンガポール・ドル,SGD,405984.7557,45757323.9026728,0.0010611828701890284,MOTHER FUND
129,RLJ,US74965L1017,RLJ LODGING TRUST,アメリカ,US,アメリカ・ドル,USD,22971.9672,45449191.74590771,0.0010540368105285242,MOTHER FUND
130,SAFE,GB00B1N7Z094,SAFESTORE HOLDINGS PLC,イギリス,GB,イギリス・ポンド,GBP,33972.1388,45234281.70579131,0.0010490527154427137,MOTHER FUND
131,XHR,US9840171030,XENIA HOTELS & RESORTS INC,アメリカ,US,アメリカ・ドル,USD,13915.0436,44907430.171845905,0.0010414725245719444,MOTHER FUND
132,CHP-U,CA17039A1066,CHOICE PROPERTIES REIT,カナダ,CA,カナダ・ドル,CAD,24568.2066,44765883.989078805,0.001038189850418784,MOTHER FUND
133,GRI,GB00B04V1276,GRAINGER PLC REIT,イギリス,GB,イギリス・ポンド,GBP,113124.793,42997807.323368505,0.0009971854272837347,MOTHER FUND
134,IIPR,US45781V1017,INNOVATIVE INDUSTRIAL PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,4337.6071,42372182.1067182,0.0009826762141907717,MOTHER FUND
135,BWP,AU000000BWP3,BWP PROPERTY GROUP LTD,オーストラリア,AU,オーストラリア・ドル,AUD,95484.9595,42292274.7088092,0.0009808230384665364,MOTHER FUND
136,CLW,AU000000CLW0,CHARTER HALL LONG WALE REIT,オーストラリア,AU,オーストラリア・ドル,AUD,97856.4161,41905258.482401,0.0009718475356416084,MOTHER FUND
137,MONT,BE0003853703,MONTEA,ベルギー,BE,ユーロ,EUR,3306.9916,41628940.07111551,0.0009654392857754733,MOTHER FUND
138,GNL,US3793782018,GLOBAL NET LEASE INC,アメリカ,US,アメリカ・ドル,USD,28767.0103,40686218.0783642,0.0009435761096818268,MOTHER FUND
139,FCR-U,CA31890B1031,FIRST CAPITAL REAL ESTATE INVESTMENT,カナダ,CA,カナダ・ドル,CAD,15407.1804,40440710.21078921,0.0009378824038147318,MOTHER FUND
140,HDN,AU0000113136,HOMECO DAILY NEEDS REIT,オーストラリア,AU,オーストラリア・ドル,AUD,277953.8627,39885628.712859206,0.0009250092082927406,MOTHER FUND
141,CQR,AU000000CQR9,CHARTER HALL RETAIL REIT,オーストラリア,AU,オーストラリア・ドル,AUD,79117.9534,36026336.49215811,0.0008355062731042044,MOTHER FUND
142,SRU-U,CA83179X1087,SMARTCENTRES REAL ESTATE INV,カナダ,CA,カナダ・ドル,CAD,10410.257,35501951.719128504,0.0008233449819476105,MOTHER FUND
143,PREIT,SG1V52937132,PARKWAY LIFE REAL ESTATE,シンガポール,SG,シンガポール・ドル,SGD,66278.6364,35358313.76871581,0.0008200137964785645,MOTHER FUND
144,RIT1,IL0010989205,REIT 1 LTD,イスラエル,IL,イスラエル・シユケル,ILS,31126.6685,35189937.2305089,0.0008161088850272971,MOTHER FUND
145,DIR-U,CA26153W1095,DREAM INDUSTRIAL REAL ESTATE INVESTMENT,カナダ,CA,カナダ・ドル,CAD,20924.6166,34695696.74474001,0.0008046466863557263,MOTHER FUND
146,SUPR,GB00BF345X11,SUPERMARKET INCOME REIT PLC,イギリス,GB,イギリス・ポンド,GBP,183567.5323,34270734.7844538,0.0007947911634738181,MOTHER FUND
147,ECMPA,NL0015000K93,EUROCOMMERCIAL PROPERTIES NV,オランダ,NL,ユーロ,EUR,6489.0602,33515009.462639403,0.0007772647284099291,MOTHER FUND
148,MERY,FR0010241638,MERCIALYS,フランス,FR,ユーロ,EUR,14504.9581,32490410.104340702,0.0007535026900060674,MOTHER FUND
149,GNZ,NZCPTE0001S9,GOODMAN NEW ZEALAND LTD & GO,ニュージーランド,NZ,ニュージーランド・ドル,NZD,162747.0182,31484793.849733703,0.0007301808990367694,MOTHER FUND
150,UMH,US9030021037,UMH PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,12665.8127,31165792.6906136,0.0007227827704585175,MOTHER FUND
151,PDM,US7201902068,PIEDMONT REALTY TRUST INC,アメリカ,US,アメリカ・ドル,USD,19467.1806,31162502.008366905,0.0007227064544650634,MOTHER FUND
152,INA,AU000000INA9,INGENIA COMMUNITIES GROUP,オーストラリア,AU,オーストラリア・ドル,AUD,63502.5679,30924918.775450602,0.0007171965330904836,MOTHER FUND
153,XIOR,BE0974288202,XIOR STUDENT HOUSING NV,ベルギー,BE,ユーロ,EUR,5864.4448,30343247.0520095,0.0007037066692535608,MOTHER FUND
154,CARM,FR0010828137,CARMILA,フランス,FR,ユーロ,EUR,9195.727,28769089.531151604,0.0006671995299884507,MOTHER FUND
155,AAT,US0240131047,AMERICAN ASSETS TRUST INC,アメリカ,US,アメリカ・ドル,USD,7356.5816,28411865.725316603,0.0006589149593177062,MOTHER FUND
156,EREIT,SGXC55341835,ESR-REIT,シンガポール,SG,シンガポール・ドル,SGD,85026.8153,28216956.2180122,0.000654394707415992,MOTHER FUND
157,CIP,AU000000CIP0,CENTURIA INDUSTRIAL REIT,オーストラリア,AU,オーストラリア・ドル,AUD,82241.0305,28063090.190068904,0.0006508263170637774,MOTHER FUND
158,LREIT,SGXC61949712,LENDLEASE GLOBAL COMMERCIAL,シンガポール,SG,シンガポール・ドル,SGD,367829.0817,26946993.000694,0.0006249423029254072,MOTHER FUND
159,WPR,AU0000088064,WAYPOINT REIT,オーストラリア,AU,オーストラリア・ドル,AUD,95427.3561,26740195.673880003,0.0006201463541657579,MOTHER FUND
160,DEA,US27616P3010,EASTERLY GOVERNMENT PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,6697.2654,26597460.6397603,0.000616836108717273,MOTHER FUND
161,BEI-U,CA0966311064,BOARDWALK REAL ESTATE INVEST,カナダ,CA,カナダ・ドル,CAD,3435.3848,26330654.0803218,0.0006106484533567358,MOTHER FUND
162,SVC,US81761L2016,SERVICE PROPERTIES TRUST,アメリカ,US,アメリカ・ドル,USD,19154.8729,24813283.817538004,0.0005754582981364404,MOTHER FUND
163,RET,BE0003720340,RETAIL ESTATES,ベルギー,BE,ユーロ,EUR,2005.7095,24728376.7201867,0.00057348917167576,MOTHER FUND
164,THRL,GB00BJGTLF51,TARGET HEALTHCARE REIT PLC,イギリス,GB,イギリス・ポンド,GBP,98203.4246,24303532.742813602,0.000563636384999462,MOTHER FUND
165,HR-U,CA4039254079,H&R REAL ESTATE INVSTMNT-UTS,カナダ,CA,カナダ・ドル,CAD,18911.9669,24050164.7841734,0.00055776039150527,MOTHER FUND
166,CNI,AU000000CNI5,CENTURIA CAPITAL GROUP,オーストラリア,AU,オーストラリア・ドル,AUD,140530.1417,23500180.842101704,0.0005450054161608436,MOTHER FUND
167,778,SG1O33912138,FORTUNE REIT,シンガポール,SG,香港・ドル,HKD,235965.826,23449457.905755404,0.0005438290730842496,MOTHER FUND
168,CBL,US1248308785,CBL & ASSOCIATES PROPERTIES,アメリカ,US,アメリカ・ドル,USD,2498.4617,23402494.8072392,0.0005427399264422301,MOTHER FUND
169,CSR,US15202L1070,CENTERSPACE,アメリカ,US,アメリカ・ドル,USD,2567.8634,23115719.292768404,0.0005360891602349808,MOTHER FUND
170,ARF,AU000000ARF6,ARENA REIT,オーストラリア,AU,オーストラリア・ドル,AUD,62461.5422,22584094.8799925,0.0005237599706737194,MOTHER FUND
171,PMZ-U,CA74167K1093,PRIMARIS REIT,カナダ,CA,カナダ・ドル,CAD,8397.6073,22042008.5059113,0.0005111881521040533,MOTHER FUND
172,SHUR,GG00BQZCBZ44,SHURGARD SELF STORAGE LTD,GUERNSEY,GG,ユーロ,EUR,4684.6157,21983926.905880105,0.0005098411502741959,MOTHER FUND
173,WHA,NL0000289213,WERELDHAVE NV,オランダ,NL,ユーロ,EUR,6142.0516,21921680.162011504,0.0005083975523387287,MOTHER FUND
174,CAREIT,SGXC43938841,CENTURION ACCOMMODATION REIT,シンガポール,SG,シンガポール・ドル,SGD,144355.5641,20789294.390472505,0.0004821357808732698,MOTHER FUND
175,JBGS,US46590V1008,JBG SMITH PROPERTIES,アメリカ,US,アメリカ・ドル,USD,9161.0262,20730830.7340082,0.00048077991856583903,MOTHER FUND
176,AAREIT,SG2D63974620,AIMS APAC REIT MANAGEMENT LTD,シンガポール,SG,シンガポール・ドル,SGD,99470.0059,20304305.153116405,0.00047088813291197215,MOTHER FUND
177,KMP-U,CA49410M1023,KILLAM APARTMENT REAL ESTATE,カナダ,CA,カナダ・ドル,CAD,9369.2313,20176663.9506625,0.00046792793668496986,MOTHER FUND
178,ALTA,FR0000033219,ALTAREA,フランス,FR,ユーロ,EUR,1058.3761,19945326.8719634,0.0004625628732543107,MOTHER FUND
179,NTTDCR,SGXC92727947,NTT DC REIT,シンガポール,SG,アメリカ・ドル,USD,129781.2043,18981176.059135802,0.0004402027297933923,MOTHER FUND
180,INN,US8660821005,SUMMIT HOTEL PROPERTIES INC,アメリカ,US,アメリカ・ドル,USD,16656.4112,18471427.0664627,0.00042838086494239273,MOTHER FUND
181,DGT,AU0000367088,DIGICO INFRASTRUCTURE REIT,オーストラリア,AU,オーストラリア・ドル,AUD,64890.6021,18256653.0537048,0.00042339992454069387,MOTHER FUND
182,HPP,US4440974065,HUDSON PACIFIC PROPERTIES IN,アメリカ,US,アメリカ・ドル,USD,7981.1971,18112260.359657604,0.000420051235403426,MOTHER FUND
183,ESRT,US2921041065,EMPIRE STATE REALTY TRUST IN,アメリカ,US,アメリカ・ドル,USD,22208.5483,17846789.4361959,0.0004138945554998976,MOTHER FUND
184,CRT-U,CA1264621006,CT REAL ESTATE INVESTMENT TR,カナダ,CA,カナダ・ドル,CAD,8362.9065,17846515.299427405,0.0004138881978456905,MOTHER FUND
185,SAFE,US78646V1070,SAFEHOLD INC,アメリカ,US,アメリカ・ドル,USD,7009.5731,17845004.7711326,0.0004138531663662536,MOTHER FUND
186,ICAD,FR0000035081,ICADE,フランス,FR,ユーロ,EUR,4788.7182,17499263.4788001,0.00040583489288241394,MOTHER FUND
187,395400,KR7395400005,SK REITS CO LTD,韓国,KR,韓国・ウォン,KRW,27760.6854,17455831.5394681,0.0004048276392646927,MOTHER FUND
