No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,Name,残高数量 Quantity,評価金額(円） Valuation (yen),純資産比率 % of NAV
1,-,-,GOLD 2612,GOLD 2612,794,53094115580.00001,0.9989936355253511
,,,,,,,
,,,合計（Total）,,,53094115580.00001,0.9989936355253511
,,,,,,,
,,,純資産総額,Total Net Assets of the Fund (NAV),,53147601438.00001,1
1328,NEXT FUNDS 金価格連動型上場投信　（NEXT FUNDS Gold Price Exchange Traded Fund）,,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3046490003,,
