No.,銘柄コード （Code）,ISINコード,銘柄 （Name）,株数（※） No. of Shares（※）,評価金額(円） Valuation (yen),純資産比率 % of NAV,MOTHER FUND/DIRECT
71,-,-,FWRDUSDJPY01,-2920.1474,-469215.99462318706,-0.0003700888489015755,MOTHER FUND
72,-,-,FWRDUSDJPY01,-2920.1474,-469179.20076641405,-0.00037005982816004965,MOTHER FUND
,,,,,,,
,,,合計（Total）,,1267107738.8547971,0.9994170059860026,
,,,,,,,
,,,純資産総額(Total Net Assets of the Fund (NAV)),,1267846886,1,
,,,,,,,
※先物が組入れられている場合は、枚数です。,,,,,,,
※Please note: it refers to the number of contracts in case of futures.,,,,,,,
364A,"NEXT FUNDS S&P 500 配当貴族指数連動型上場投信
　（NEXT FUNDS S&P 500 Dividend Aristocrats Index Exchange Traded Fund）",,,,,,
,"2026年7月31日現在　（as of July 31, 2026）",,,ISINコード：,JP3050750003,,
