No.,種別 （Sector）,銘柄コード （Code）,ISINコード,銘柄 （Name）,国（地域）名,Country (Region),通貨,Currency,残高数量 Quantity,単価 Price,評価金額（現地通貨） Valuation (local),為替レート FX Rate,評価金額(円） Valuation (yen),純資産比率 % of NAV,クーポン Coupon,修正デュレーション Modified Duration,償還日 Maturity Date,MOTHER FUND/DIRECT
29,国債,B.20340129.MO00,XS3285368620,REPUBLIC OF ECUADOR,エクアドル,EC,アメリカ・ドル,USD,212591.4492,98.96,210380.498123031,160.72,33812353.670839004,0.00877208762320289,8.75,5.39986971175993,2034-01-29 00:00:00,MOTHER FUND
30,国債,B.20361107.GB00,US195325EP60,REPUBLIC OF COLOMBIA,コロンビア,CO,アメリカ・ドル,USD,193833.3802,107.32500000000002,208031.67524391442,160.72,33434850.845201902,0.008674150404849727,7.75,6.78626028678007,2036-11-07 00:00:00,MOTHER FUND
31,国債,B.20341028.MO00,US760942BE11,REPUBLICA ORIENT URUGUAY,ウルグアイ,UY,アメリカ・ドル,USD,200086.0698,102.80000000000001,205688.47978551092,160.72,33058252.471127436,0.008576447832343334,5.75,6.37409738817544,2034-10-28 00:00:00,MOTHER FUND
32,国債,B.20280522.GB00,XS2574267188,HUNGARY,ハンガリー,HU,アメリカ・ドル,USD,200086.0698,102.10631000000001,204300.5027277062,160.72,32835176.8245081,0.008518574336230133,6.125,1.68499604580693,2028-05-22 00:00:00,MOTHER FUND
33,国債,B.20310115.GB01,XS3204248440,REPUBLIC OF ANGOLA,アンゴラ共和国,AO,アメリカ・ドル,USD,193833.3801,104.75779,203055.565325415,160.72,32635090.442043405,0.008466665046025834,9.244,3.6176119206072,2031-01-15 00:00:00,MOTHER FUND
34,国債,B.20280118.GB00,XS2577134401,SAUDI INTERNATIONAL BOND,サウジアラビア,SA,アメリカ・ドル,USD,200086.0698,100.02246000000001,200131.009161548,160.72,32165055.8125526,0.008344721894834053,4.75,1.4009180622228,2028-01-18 00:00:00,MOTHER FUND
35,国債,B.20541119.GB00,XS2917537875,REPUBLIC OF SOUTH AFRICA,南アフリカ,ZA,アメリカ・ドル,USD,187580.6904,103.90331000000002,194902.5463148956,160.72,31324737.275243673,0.008126714360888469,7.95,11.3086668885076,2054-11-19 00:00:00,MOTHER FUND
36,国債,B.20350201.GB01,XS2895056369,UKRAINE GOVERNMENT,ウクライナ,UA,アメリカ・ドル,USD,287623.7254,67.6,194433.638357559,160.72,31249374.356826905,0.008107162627509365,4.5,4.56781997525495e-05,2035-02-01 00:00:00,MOTHER FUND
37,国債,B.20370214.MO00,US760942BH42,REPUBLICA ORIENT URUGUAY,ウルグアイ,UY,アメリカ・ドル,USD,193833.38009999998,100.10000000000001,194027.2135282157,160.72,31184053.75825492,0.008090216217334798,5.442,7.71722016594903,2037-02-14 00:00:00,MOTHER FUND
38,国債,B.20330331.GB01,XS3328007797,REPUBLIC OF ANGOLA,アンゴラ共和国,AO,アメリカ・ドル,USD,187580.6905,103.106,193406.9467117421,160.72,31084364.50052202,0.00806435339475705,9.375,4.77569150163706,2033-03-31 00:00:00,MOTHER FUND
