Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"DSY","DASSAULT SYSTEMES","Information Technology","Equity","55,346,788.41","0.99","55,346,788.41","2,133,185.00","-","France","Nyse Euronext - Euronext Paris","JPY","-","EUR"
"FTV","FORTIVE","Industrials","Equity","53,146,064.49","0.95","53,146,064.49","895,638.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"HLMA","HALMA PLC","Information Technology","Equity","52,798,464.68","0.95","52,798,464.68","1,115,355.00","-","United Kingdom","London Stock Exchange","JPY","-","GBP"
"PTC","PTC","Information Technology","Equity","52,044,868.29","0.94","52,044,868.29","339,360.00","-","United States","NASDAQ","JPY","-","USD"
"NDSN","NORDSON","Industrials","Equity","51,902,491.41","0.93","51,902,491.41","155,232.00","-","United States","NASDAQ","JPY","-","USD"
"3008","LARGAN PRECISION LTD","Information Technology","Equity","50,088,298.48","0.90","50,088,298.48","290,793.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"LSCC","LATTICE SEMICONDUCTOR","Information Technology","Equity","47,270,237.29","0.85","47,270,237.29","402,510.00","-","United States","NASDAQ","JPY","-","USD"
"3443","GLOBAL UNICHIP","Information Technology","Equity","45,366,502.65","0.82","45,366,502.65","258,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","Industrials","Equity","44,550,616.37","0.80","44,550,616.37","161,069.00","-","United States","NASDAQ","JPY","-","USD"
"ONTO","ONTO INNOVATION","Information Technology","Equity","43,630,172.08","0.78","43,630,172.08","146,149.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"6383","DAIFUKU","Industrials","Equity","40,996,199.75","0.74","40,996,199.75","1,115,733.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"METSO","METSO CORPORATION","Industrials","Equity","36,388,416.66","0.65","36,388,416.66","1,882,686.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"NVMI","NOVA","Information Technology","Equity","34,583,678.44","0.62","34,583,678.44","89,668.00","-","Israel","Tel Aviv Stock Exchange","JPY","-","ILS"
"G1A","GEA GROUP AG","Industrials","Equity","32,489,737.18","0.58","32,489,737.18","428,593.00","-","Germany","Xetra","JPY","-","EUR"
"4684","OBIC LTD","Information Technology","Equity","29,988,687.03","0.54","29,988,687.03","1,008,400.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3661","ALCHIP TECHNOLOGIES","Information Technology","Equity","27,054,944.62","0.49","27,054,944.62","231,000.00","-","Taiwan","Taiwan Stock Exchange","JPY","-","TWD"
"6506","YASKAWA ELECTRIC","Industrials","Equity","24,771,909.07","0.45","24,771,909.07","783,575.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"6645","OMRON","Information Technology","Equity","24,085,608.00","0.43","24,085,608.00","597,100.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"ESTC","ELASTIC","Information Technology","Equity","23,151,815.87","0.42","23,151,815.87","269,800.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"AUR","AURORA INNOVATION CLASS A","Information Technology","Equity","21,367,655.56","0.38","21,367,655.56","3,495,022.00","-","United States","NASDAQ","JPY","-","USD"
"SLAB","SILICON LABORATORIES","Information Technology","Equity","21,250,862.03","0.38","21,250,862.03","97,537.00","-","United States","NASDAQ","JPY","-","USD"
"RAL","RALLIANT","Information Technology","Equity","21,126,838.41","0.38","21,126,838.41","330,813.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"BSY","BENTLEY SYSTEMS INC CLASS B","Information Technology","Equity","20,863,218.72","0.37","20,863,218.72","573,755.00","-","United States","NASDAQ","JPY","-","USD"
"KCR","KONECRANES","Industrials","Equity","20,188,040.84","0.36","20,188,040.84","626,256.00","-","Finland","Nasdaq Omx Helsinki Ltd.","JPY","-","EUR"
"TNE","TECHNOLOGY ONE","Information Technology","Equity","19,554,018.79","0.35","19,554,018.79","846,534.00","-","Australia","Asx - All Markets","JPY","-","AUD"
"6856","HORIBA","Information Technology","Equity","18,253,161.26","0.33","18,253,161.26","122,600.00","-","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"TTAN","SERVICETITAN CLASS A","Information Technology","Equity","18,082,976.39","0.32","18,082,976.39","195,547.00","-","United States","NASDAQ","JPY","-","USD"
"PATH","UIPATH INC CLASS A","Information Technology","Equity","18,059,617.68","0.32","18,059,617.68","1,135,570.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"OTEX","OPEN TEXT","Information Technology","Equity","17,794,885.67","0.32","17,794,885.67","723,288.00","-","Canada","Toronto Stock Exchange","JPY","-","CAD"
"EPAM","EPAM SYSTEMS","Information Technology","Equity","16,765,990.23","0.30","16,765,990.23","157,206.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"JBTM","JBT MAREL","Industrials","Equity","16,745,968.48","0.30","16,745,968.48","144,310.00","-","United States","New York Stock Exchange Inc.","JPY","-","USD"
"MXL","MAXLINEAR","Information Technology","Equity","16,276,013.53","0.29","16,276,013.53","249,581.00","-","United States","NASDAQ","JPY","-","USD"
