ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
2095,Global X S&P 500 Dividend Aristocrats ETF (JPY Hedged),2224054.31097,200000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,ALBEMARLE CORP,US0126531013,XNYS,USD,167.961651,134.19
,ABBOTT LABORATORIES,US0028241000,XNYS,USD,196.159357,114.14
,ABBVIE INC,US00287Y1091,XNYS,USD,77.890121,261.83
,AFLAC INC,US0010551028,XNYS,USD,159.647356,116.17
,AIR PRODUCTS & CHEMICALS INC,US0091581068,XNYS,USD,66.417682,300.33
,AMCOR PLC,JE00BV7DQ550,XNYS,USD,456.577259,47.81
,SMITH (A.O.) CORP,US8318652091,XNYS,USD,332.410674,62.43
,ARCHER-DANIELS-MIDLAND CO,US0394831020,XNYS,USD,225.936135,81.7
,ATMOS ENERGY CORP,US0495601058,XNYS,USD,110.535008,169.52
,AUTOMATIC DATA PROCESSING,US0530151036,XNAS,USD,81.144942,279.21
,BECTON DICKINSON AND CO,US0758871091,XNYS,USD,128.807122,187.62
,BROWN & BROWN INC,US1152361010,XNYS,USD,301.699343,72.08
,BROWN-FORMAN CORP-CLASS B,US1156372096,XNYS,USD,747.029746,28.41
,CARDINAL HEALTH INC,US14149Y1082,XNYS,USD,89.459237,228.46
,CATERPILLAR INC,US1491231015,XNYS,USD,22.171453,815.39
,CHEVRON CORP,US1667641005,XNYS,USD,102.220713,205.77
,CHUBB LTD,CH0044328745,XNYS,USD,57.491094,342.87
,CHURCH & DWIGHT CO INC,US1713401024,XNYS,USD,203.120162,97.41
,CINCINNATI FINANCIAL CORP,US1720621010,XNAS,USD,110.083845,168.19
,CINTAS CORP,US1729081059,XNAS,USD,97.966888,203.52
,CLOROX COMPANY,US1890541097,XNYS,USD,206.020498,106.04
,COCA-COLA CO/THE,US1912161007,XNYS,USD,240.018875,90.5
,COLGATE-PALMOLIVE CO,US1941621039,XNYS,USD,215.301571,89.7
,CONSOLIDATED EDISON INC,US2091151041,XNYS,USD,176.018138,108.31
,DOVER CORP,US2600031080,XNYS,USD,91.972861,199.88
,ECOLAB INC,US2788651006,XNYS,USD,73.926329,281.48
,EMERSON ELECTRIC CO,US2910111044,XNYS,USD,141.278564,154.72
,EXPEDITORS INTL WASH INC,US3021301094,XNYS,USD,111.179527,186.4
,FRANKLIN RESOURCES INC,US3546131018,XNYS,USD,609.296036,33.97
,GENERAL DYNAMICS CORP,US3695501086,XNYS,USD,52.882783,386.07
,GENUINE PARTS CO,US3724601055,XNYS,USD,163.901181,132.92
,HORMEL FOODS CORP,US4404521001,XNYS,USD,782.574969,24.08
,ILLINOIS TOOL WORKS,US4523081093,XNYS,USD,72.024998,282.74
,INTERNATIONAL BUSINESS MACHINES CORP,US4592001014,XNYS,USD,95.872201,233.69
,JOHNSON & JOHNSON,US4781601046,XNYS,USD,77.18115,267.37
,KIMBERLY-CLARK CORP,US4943681035,XNAS,USD,181.206516,108.69
,LOWES COS INC,US5486611073,XNYS,USD,96.548946,217.34
,MCCORMICK & CO-NON VTG SHRS,US5797802064,XNYS,USD,379.267205,55.22
,MCDONALDS CORP,US5801351017,XNYS,USD,74.860881,269.13
,MEDTRONIC PLC,IE00BTN1Y115,XNYS,USD,240.921202,92.3
,NEXTERA ENERGY INC,US65339F1012,XNYS,USD,220.651079,85.03
,NUCOR CORP,US6703461052,XNYS,USD,83.62634,240.48
,PENTAIR PLC,IE00BLS09M33,XNYS,USD,313.042878,63.78
,PEPSICO INC,US7134481081,XNAS,USD,145.435712,142.08
,PPG INDUSTRIES INC,US6935061076,XNYS,USD,168.058329,112.44
,PROCTER & GAMBLE CO,US7427181091,XNYS,USD,132.287524,142.97
,ROPER TECHNOLOGIES INC,US7766961061,XNAS,USD,58.586777,410.45
,SHERWIN-WILLIAMS CO,US8243481061,XNYS,USD,61.680468,346.11
,S&P GLOBAL INC,US78409V1044,XNYS,USD,45.98643,432.16
,STANLEY BLACK & DECKER,US8545021011,XNYS,USD,221.037791,98.85
,SYSCO CORP,US8718291078,XNYS,USD,240.244457,83.06
,TARGET CORP,US87612E1064,XNYS,USD,143.050992,158.25
,T ROWE PRICE GROUP INC,US74144T1088,XNAS,USD,170.056338,112.19
,WALMART INC,US9311421039,XNAS,USD,180.46532,103.5925
,WEST PHARMACEUTICAL SERVICES INC,US9553061055,XNYS,USD,55.041922,353.77
,WW GRAINGER INC,US3848021040,XNYS,USD,14.566129,1300.34
,C H ROBINSON WORLDWIDE INC,US12541W2098,XNAS,USD,95.16323,143.83
,JM SMUCKER CO/THE,US8326964058,XNYS,USD,167.123776,123.05
,NORDSON CORP,US6556631025,XNAS,USD,67.674495,334.7
,LINDE PLC,IE000S9YS762,XNAS,USD,38.800043,481.29
,KENVUE INC,US49177J1025,XNYS,USD,1031.294851,18.93
,FASTENAL CO,US3119001044,XNAS,USD,435.24368,50.66
,ERIE INDEMNITY CO,US29530P1021,XNAS,USD,93.551932,262.29
,EVERSOURCE ENERGY,US30040W1080,XNYS,USD,264.96176,72.15
,FACTSET RESEARCH SYSTEMS INC,US3030751057,XNYS,USD,80.468197,300.06
,EXXON MOBIL CORP,US30233Q1085,XNYS,USD,127.743665,166.15
,PROSHARES S&P 500 DIVIDEND A,US74348A4673,BATS,USD,876.22358,58.43
,ESSEX PROPERTY TRUST INC,US2971781057,XNYS,USD,67.320009,287.71
,FEDERAL REALTY INVS TRUST,US3137451015,XNYS,USD,157.778251,117.25
,REALTY INCOME CORP,US7561091049,XNYS,USD,303.375093,63.17
,nan,CASHUSDJPY01,,USD,26243.6529,0.006283775
,DJIA MICR MIN CBOTSep26,,CME,USD,0.999004,52849
,2026-09-04,FORWARD,,USD,-1460000.0,0.006290776
,2026-09-04,FORWARD,,USD,-30000.0,0.006290776
