Fund Holdings as of,"2026/08/21"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"8951","NIPPON BUILDING FUND REIT","Real Estate ex REIT","Equity","26,832,133,200.00","7.26","26,832,133,200.00","208,973.00","128,400.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8952","JAPAN REAL ESTATE INVESTMENT TRUST","Real Estate ex REIT","Equity","21,538,086,000.00","5.83","21,538,086,000.00","181,756.00","118,500.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8953","JAPAN METROPOLITAN FUND INVESTMENT","Real Estate ex REIT","Equity","20,677,363,200.00","5.60","20,677,363,200.00","179,491.00","115,200.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3281","GLP J-REIT REIT","Real Estate ex REIT","Equity","16,617,691,200.00","4.50","16,617,691,200.00","119,724.00","138,800.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3462","NOMURA REAL ESTATE MASTER FUND REI","Real Estate Investment Trusts (Reits)","Equity","16,467,275,500.00","4.46","16,467,275,500.00","110,149.00","149,500.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"3283","NIPPON PROLOGIS REIT","Real Estate ex REIT","Equity","15,356,394,600.00","4.16","15,356,394,600.00","177,942.00","86,300.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8972","KDX REALTY INVESTMENT REIT CORP","Real Estate Investment Trusts (Reits)","Equity","15,109,170,500.00","4.09","15,109,170,500.00","100,795.00","149,900.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8954","ORIX JREIT REIT INC","Real Estate ex REIT","Equity","13,774,700,000.00","3.73","13,774,700,000.00","137,747.00","100,000.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8984","DAIWA HOUSE REIT CORP","Real Estate Investment Trusts (Reits)","Equity","12,871,830,400.00","3.48","12,871,830,400.00","107,624.00","119,600.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8960","UNITED URBAN INVESTMENT REIT","Real Estate Investment Trusts (Reits)","Equity","12,183,276,600.00","3.30","12,183,276,600.00","75,861.00","160,600.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
"8985","JAPAN HOTEL INVESTMENT REIT","Real Estate ex REIT","Equity","11,904,264,000.00","3.22","11,904,264,000.00","147,330.00","80,800.00","Japan","Tokyo Stock Exchange","JPY","1.00","JPY"
