ETF Code,ETF Name,Fund Cash Component,Shares Outstanding,Fund Date
564A,Global X S&P Developed Cash Flow Top 100 ETF,-30259.3085842,550000,20260824

Code,Name,ISIN,Exchange,Currency,Shares Amount,Stock Price
,KONGSBERG GRUPPEN ASA,NO0013536151,XOSL,NOK,123,321.1
,EVOLUTION AB,SE0012673267,XSTO,SEK,63,805.0
,SECTRA AB-B SHS,SE0022419784,XSTO,SEK,64,281.8
,SINGAPORE EXCHANGE (SGX) LTD ORD,SG1J26887955,XSES,SGD,400,24.91
,APPLE INC,US0378331005,XNAS,USD,630,311.3
,MICROSOFT CORP,US5949181045,XNAS,USD,436,481.15
,NVIDIA CORP,US67066G1040,XNAS,USD,896,216.85
,QUALCOMM INC,US7475251036,XNAS,USD,190,160.74
,ABBVIE INC,US00287Y1091,XNYS,USD,596,261.83
,AUTOMATIC DATA PROCESSING,US0530151036,XNAS,USD,138,279.21
,CARDINAL HEALTH INC,US14149Y1082,XNYS,USD,57,228.46
,COLGATE-PALMOLIVE CO,US1941621039,XNYS,USD,189,89.7
,MCDONALDS CORP,US5801351017,XNYS,USD,136,269.13
,S&P GLOBAL INC,US78409V1044,XNYS,USD,68,432.16
,LAM RESEARCH CORP,US5128073062,XNAS,USD,227,310.53
,MICROCHIP TECHNOLOGY INC,US5950171042,XNAS,USD,68,75.355
,MONOLITHIC POWER SYSTEMS INC,US6098391054,XNAS,USD,5,1310.6
,ADOBE INC,US00724F1012,XNAS,USD,120,272.22
,BROADCOM INC,US11135F1012,XNAS,USD,465,364.03
,INTUIT INC,US4612021034,XNAS,USD,53,361.87
,KLA CORP,US4824801009,XNAS,USD,280,185.86
,META PLATFORMS INC,US30303M1027,XNAS,USD,266,545.83
,PALO ALTO NETWORKS INC,US6974351057,XNAS,USD,220,349.56
,ANALOG DEVICES INC,US0326541051,XNAS,USD,56,370.24
,APPLIED MATERIALS INC,US0382221051,XNAS,USD,117,496.21
,CAPITAL ONE FINANCIAL CORP,US14040H1059,XNYS,USD,181,212.48
,TRADEWEB MARKETS INC,US8926721064,XNAS,USD,31,106.1
,VEEVA SYSTEMS INC,US9224751084,XNYS,USD,48,250.53
,WORKDAY INC,US98138H1014,XNAS,USD,32,197.32
,AMGEN INC,US0311621009,XNAS,USD,116,431.21000000000004
,ACCENTURE PLC-CL A,IE00B4BNMY34,XNYS,USD,90,181.35
,CISCO SYSTEMS INC,US17275R1023,XNAS,USD,555,109.59
,HP INC,US40434L1052,XNYS,USD,141,29.47
,MASTERCARD INC-CLASS A,US57636Q1040,XNYS,USD,322,573.85
,MOTOROLA SOLUTIONS INC,US6200763075,XNYS,USD,22,473.63
,VISA INC-CLASS A SHARES,US92826C8394,XNYS,USD,528,365.73
,FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062,XNYS,USD,99,40.58
,ATLASSIAN CORPORATION PLC,US0494681010,XNAS,USD,47,174.91
,ALPHABET INC C-SHARES,US02079K1079,XNAS,USD,519,338.2
,ALTRIA GROUP INC,US02209S1033,XNYS,USD,704,66.94
,AMERICAN EXPRESS CO,US0258161092,XNYS,USD,118,331.15
,ARISTA NETWORKS INC,US0404132054,XNYS,USD,184,183.75
,AUTOZONE INC,US0533321024,XNYS,USD,4,2961.99
,BRISTOL-MYERS SQUIBB CO,US1101221083,XNYS,USD,484,65.47
,CME GROUP INC,US12572Q1058,XNAS,USD,98,270.87
,CADENCE DESIGN SYSTEMS INC,US1273871087,XNAS,USD,48,313.59
,FAIR ISAAC CORP,US3032501047,XNYS,USD,7,1149.75
,FORTINET INC,US34959E1091,XNAS,USD,172,150.79
,GILEAD SCIENCES INC,US3755581036,XNAS,USD,321,143.44
,IDEXX LABORATORIES INC,US45168D1046,XNAS,USD,20,545.86
,INTERCONTINENTAL EXCHANGE INC,US45866F1049,XNYS,USD,134,158.61
,MSCI INC,US55354G1004,XNYS,USD,30,568.75
,MCKESSON CORP,US58155Q1031,XNYS,USD,30,838.75
,METTLER-TOLEDO INTL,US5926881054,XNYS,USD,6,1393.23
,MOODYS CORP,US6153691059,XNYS,USD,35,498.77
,NVR INC,US62944T1051,XNYS,USD,1,6300.0
,O REILLY AUTOMOTIVE INC,US67103H1077,XNAS,USD,212,89.08
,PTC INC,US69370C1009,XNAS,USD,16,153.52
,PAYCHEX INC,US7043261079,XNAS,USD,117,122.91
,PHILIP MORRIS INTERNATIONAL,US7181721090,XNYS,USD,474,191.52
,ROLLINS INC,US7757111049,XNYS,USD,58,36.38
,SERVICENOW INC,US81762P1021,XNYS,USD,228,129.75
,SYNOPSYS INC,US8716071076,XNAS,USD,25,397.92
,VERISK ANALYTICS INC,US92345Y1064,XNAS,USD,40,187.68
,YUM! BRANDS,US9884981013,XNYS,USD,68,152.33
,MARRIOTT INTERNATIONAL -CL A,US5719032022,XNAS,USD,51,356.6
,REGENERON PHARMACEUTICALS,US75886F1075,XNAS,USD,24,826.64
,HILTON WORLDWIDE HOLDINGS INC,US43300A2033,XNYS,USD,58,329.46000000000004
,NASDAQ INC,US6311031081,XNAS,USD,94,97.55
,TRADE DESK INC/THE -CLASS A,US88339J1051,XNAS,USD,126,13.32
,CHECK POINT SOFTWARE TECH L ORD,IL0010824113,XNAS,USD,29,130.32
,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057,XLON,USD,57,159.8
,ZIM INTEGRATED SHIPPING SERVICES LTD,IL0065100930,XNYS,USD,57,27.16
,nan,CASHUSDJPY01,,USD,62206.17,0.006283775
,nan,CASHSGDJPY01,,SGD,391.62,0.007989773
,nan,CASHSEKJPY01,,SEK,506.45,0.059559261
,nan,CASHNOKJPY01,,NOK,873.25,0.058719906
,nan,CASHHKDJPY01,,HKD,3806.42,0.049285362
,nan,CASHGBPJPY01,,GBP,627.55,0.004606808
,nan,CASHEURJPY01,,EUR,5182.72,0.005378078
,nan,CASHDKKJPY01,,DKK,12276.79,0.040209087
,nan,CASHCHFJPY01,,CHF,2786.3,0.005029422
,nan,CASHCADJPY01,,CAD,1180.06,0.008658008
,nan,CASHAUDJPY01,,AUD,3356.58,0.008821453
,SP500 MIC EMIN FUTSep26,,CME,USD,2.0,7662.5
