Ticker,Name,Short name,Region,Company
513A,Global X Japan Defense Tech ETF,defenseTech,JP,globalX
515A,iShares JPY Investment Grade Corporate Bond Active ETF,corpoBond,JP,ishares
516A,iFreeETF US Dollar Bull (1x),usdbull,US,ifree
517A,iFreeETF US Dollar Bear (1x),usdBear,US,ifree
518A,NEXT FUNDS FTSE Japan ex-REITs High Income Cash Flow 50 Index Exchange Traded Fund,exReitCashFl50,JP,nextFunds
521A,iFreeETF FANG+GOLD,fanggold,US,ifree
526A,JPX Startup100 ETF,jpxStartup100,JP,simplex
530A,NZAM ETF J-REIT Index(2 5 8 11),jreit,JP,nzam
531A,NZAM ETF Nikkei High Dividend 50,nikkeiHighdiv,JP,nzam
532A,NZAM ETF TOPIX High Dividend 40,topixHighdiv,JP,nzam
533A,NZAM ETF S&P500(Unhedged),sp500,US,nzam
534A,NZAM ETF NASDAQ100(Unhedged),nasdaq100,US,nzam
535A,NZAM ETF DAX(Unhedged),dax,DE,nzam
536A,NZAM ETF MSCI-KOKUSAI(Unhedged),kokusai,GLOBAL,nzam
537A,NZAM ETF MSCI ACWI(Unhedged),acwi,GLOBAL,nzam
538A,NZAM ETF US Treasury 7-10Y(Unhedged),ust710,US,nzam
539A,NZAM ETF FTSE WGBI ex Japan(Unhedged),nzamFtseWgbiExJapan,GLOBAL,nzam
540A,Listed Index Fund Nikkei Bank Stock Top 10,banks,JP,amova
541A,One ETF TOPIX High Dividend Growth Index,topixHighdiv,JP,one
552A,MAXIS US AI Infrastructure Equity ETF,aiinfra,US,maxis
563A,Global X Nasdaq 100 Daily Covered Call ETF,nasdaq100Coveredcall,US,globalX
564A,Global X S&P Developed Cash Flow Top 100 ETF,globalXSpDevelopedCashFl,US,globalX
566A,iFreeETF Bloomberg Japan ex-Financials High Dividend 50 Index,exfinancialsHighdiv,JP,ifree
568A,iShares Silver ETF,silver,GLOBAL,ishares
569A,iShares Platinum ETF,platinum,GLOBAL,ishares
570A,iShares 0-1 Year Japan Government Bond ETF,jgb01,JP,ishares
571A,iShares 1-3 Year Japan Government Bond ETF,jgb13,JP,ishares
572A,iShares 3-7 Year Japan Government Bond ETF,jgb37,JP,ishares
573A,iShares 20+ Year Japan Government Bond ETF,jgb20,JP,ishares
576A,Global X China Tech Covered Call ETF,chinaTechCoveredcall,CN,globalX
577A,Global X Silver ETF,silver,GLOBAL,globalX
578A,Global X Silver ETF (JPY Hedged),silverHedge,GLOBAL,globalX
579A,Global X Silver Miners ETF,silverminers,GLOBAL,globalX
580A,Global X Copper Miners ETF,copperminers,GLOBAL,globalX
585A,NV Bottom Up Equity Investment Strategy Active ETF,active,JP,nv
586A,NEXT FUNDS Nikkei Japan Entertainment Content Stock Index Exchange Traded Fund,entertainment,JP,nextFunds
587A,Invesco QQQ Trust,nasdaq100,US,invesco
600A,Nissay ETF Russell 2000,russell2000,US,nissay
605A,NEXT FUNDS Japan Equity Policy Focus Exchange Traded Fund,japanPolicy,JP,nextFunds
608A,Listed Index Fund TSE REIT High Yield 30,reit,JP,amova
609A,Global X Japan Wholesale Trade & Resource Business ETF,wholesale,JP,globalX
610A,Global X Space Tech Top 10 ETF (ex-Japan),space,GLOBAL,globalX
611A,One ETF Japanese Government Bond 27-30 years,jgb2730,JP,one
613A,iFreeETF German Government 0-3 Month Bill,germanyBond03m,DE,ifree
