1593,MAXIS JPX日経インデックス400上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（ＭＡＸＩＳ　ＪＰＸ－Ｎｉｋｋｅｉ４００）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),1182958398471 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,98.77%,,,,
Future contracts*,先物組入比率(Future contracts)*,1.23%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,1.23%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),401 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
41,2379,ディップ　　　　　　　　　　　　　　　　,DIP CORPORATION                                                                 ,55000 ,99935000 ,0.01%
42,2384,ＳＢＳホールディングス　　　　　　　　　,"SBS HOLDINGS,INC.                                                               ",27200 ,134232000 ,0.01%
43,2413,エムスリー　　　　　　　　　　　　　　　,"M3,INC.                                                                         ",621200 ,1092069600 ,0.09%
44,2503,キリンホールディングス　　　　　　　　　,"KIRIN HOLDINGS COMPANY,LIMITED                                                  ",1306200 ,3847412100 ,0.33%
45,2587,サントリービバレッジ＆フード　　　　　　,SUNTORY BEVERAGE & FOOD LIMITED                                                 ,247300 ,1120516300 ,0.09%
46,2670,エービーシー・マート　　　　　　　　　　,"ABC-MART,INC.                                                                   ",169900 ,457031000 ,0.04%
47,2678,アスクル　　　　　　　　　　　　　　　　,ASKUL CORPORATION                                                               ,61600 ,78601600 ,0.01%
48,2685,アンドエスティＨＤ　　　　　　　　　　　,"AND ST HD CO.,LTD.                                                              ",44600 ,147849000 ,0.01%
49,2702,日本マクドナルドホールディングス　　　　,"MCDONALD'S HOLDINGS COMPANY(JAPAN),LTD.                                         ",197600 ,1624272000 ,0.14%
50,2726,パルグループホールディングス　　　　　　,"PAL GROUP HOLDINGS CO.,LTD                                                      ",127000 ,186309000 ,0.02%
51,2767,円谷フィールズホールディングス　　　　　,TSUBURAYA FIELDS HOLDINGS INC.                                                  ,59800 ,151234200 ,0.01%
52,2768,双日　　　　　　　　　　　　　　　　　　,SOJITZ CORPORATION                                                              ,312100 ,1803313800 ,0.15%
53,2801,キッコーマン　　　　　　　　　　　　　　,KIKKOMAN CORPORATION                                                            ,997600 ,1820121200 ,0.15%
54,2802,味の素　　　　　　　　　　　　　　　　　,"AJINOMOTO CO.,INC.                                                              ",1453300 ,7528094000 ,0.64%
55,2811,カゴメ　　　　　　　　　　　　　　　　　,"KAGOME CO.,LTD.                                                                 ",156300 ,430528350 ,0.04%
56,2871,ニチレイ　　　　　　　　　　　　　　　　,NICHIREI CORPORATION                                                            ,264400 ,565816000 ,0.05%
57,2875,東洋水産　　　　　　　　　　　　　　　　,"TOYO SUISAN KAISHA,LTD.                                                         ",139500 ,1447312500 ,0.12%
58,2897,日清食品ホールディングス　　　　　　　　,"NISSIN FOODS HOLDINGS CO.,LTD.                                                  ",340300 ,1020049250 ,0.09%
59,2914,日本たばこ産業　　　　　　　　　　　　　,JAPAN TOBACCO INC.                                                              ,1829400 ,12710671200 ,1.07%
60,3003,ヒューリック　　　　　　　　　　　　　　,"HULIC CO.,LTD.                                                                  ",878000 ,1555377000 ,0.13%
61,3038,神戸物産　　　　　　　　　　　　　　　　,"KOBE BUSSAN CO.,LTD.                                                            ",250300 ,725870000 ,0.06%
62,3064,ＭｏｎｏｔａＲＯ　　　　　　　　　　　　,"MONOTARO CO.,LTD.                                                               ",453800 ,848152200 ,0.07%
63,3086,Ｊ．フロント　リテイリング　　　　　　　,"J.FRONT RETAILING CO.,LTD.                                                      ",371200 ,1014675200 ,0.09%
64,3088,マツキヨココカラ＆カンパニー　　　　　　,MATSUKIYOCOCOKARA & CO.                                                         ,556600 ,1439645900 ,0.12%
65,3092,ＺＯＺＯ　　　　　　　　　　　　　　　　,"ZOZO,INC.                                                                       ",510000 ,577830000 ,0.05%
66,3099,三越伊勢丹ホールディングス　　　　　　　,ISETAN MITSUKOSHI HOLDINGS LTD.                                                 ,504200 ,1618986200 ,0.14%
67,3107,ダイワボウホールディングス　　　　　　　,"DAIWABO HOLDINGS CO.,LTD.                                                       ",121400 ,457556600 ,0.04%
68,3110,日東紡績　　　　　　　　　　　　　　　　,"NITTO BOSEKI CO.,LTD.                                                           ",194100 ,574730100 ,0.05%
69,3116,トヨタ紡織　　　　　　　　　　　　　　　,TOYOTA BOSHOKU CORPORATION                                                      ,150200 ,346135900 ,0.03%
70,3132,マクニカホールディングス　　　　　　　　,"MACNICA HOLDINGS,INC.                                                           ",225200 ,788425200 ,0.07%
71,3148,クリエイトＳＤホールディングス　　　　　,"CREATE SD HOLDINGS CO.,LTD.                                                     ",45800 ,157781000 ,0.01%
72,3186,ネクステージ　　　　　　　　　　　　　　,"NEXTAGE CO.,LTD.                                                                ",83300 ,265310500 ,0.02%
73,3231,野村不動産ホールディングス　　　　　　　,"NOMURA REAL ESTATE HOLDINGS,INC.                                                ",839600 ,785026000 ,0.07%
74,3288,オープンハウスグループ　　　　　　　　　,"OPEN HOUSE GROUP CO.,LTD.                                                       ",93500 ,723316000 ,0.06%
75,3289,東急不動産ホールディングス　　　　　　　,TOKYU FUDOSAN HOLDINGS CORPORATION                                              ,823000 ,1088006000 ,0.09%
76,3291,飯田グループホールディングス　　　　　　,"IIDA GROUP HOLDINGS CO.,LTD.                                                    ",256500 ,598671000 ,0.05%
77,3349,コスモス薬品　　　　　　　　　　　　　　,COSMOS PHARMACEUTICAL CORPORATION                                               ,54900 ,366292800 ,0.03%
78,3382,セブン＆アイ・ホールディングス　　　　　,"SEVEN & I HOLDINGS CO.,LTD.                                                     ",3183500 ,6558010000 ,0.55%
79,3391,ツルハホールディングス　　　　　　　　　,TSURUHA HOLDINGS INC.                                                           ,505900 ,1166352450 ,0.10%
80,3402,東レ　　　　　　　　　　　　　　　　　　,"TORAY INDUSTRIES,INC.                                                           ",2064200 ,2630822900 ,0.22%
81,3465,ケイアイスター不動産　　　　　　　　　　,"KI-STAR REAL ESTATE CO.,LTD                                                     ",25400 ,83693000 ,0.01%
82,3549,クスリのアオキホールディングス　　　　　,"KUSURI NO AOKI HOLDINGS CO.,LTD.                                                ",76500 ,318393000 ,0.03%
83,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥ,FOOD & LIFE COMPANIES LTD.                                                      ,371600 ,2197270800 ,0.19%
84,3626,ＴＩＳＩ　　　　　　　　　　　　　　　　,TISI INC.                                                                       ,313400 ,1252973200 ,0.11%
85,3635,コーエーテクモホールディングス　　　　　,"KOEI TECMO HOLDINGS CO.,LTD.                                                    ",192100 ,320038600 ,0.03%
86,3659,ネクソン　　　　　　　　　　　　　　　　,"NEXON CO.,LTD.                                                                  ",635100 ,1981512000 ,0.17%
87,3697,ＳＨＩＦＴ　　　　　　　　　　　　　　　,SHIFT INC.                                                                      ,305900 ,269283770 ,0.02%
88,3769,ＧＭＯペイメントゲートウェイ　　　　　　,"GMO PAYMENT GATEWAY,INC.                                                        ",70000 ,618730000 ,0.05%
89,3774,インターネットイニシアティブ　　　　　　,INTERNET INITIATIVE JAPAN INC.                                                  ,167800 ,545350000 ,0.05%
90,3923,ラクス　　　　　　　　　　　　　　　　　,"RAKUS CO.,LTD.                                                                  ",283600 ,312669000 ,0.03%
91,4004,レゾナック・ホールディングス　　　　　　,RESONAC HOLDINGS CORPORATION                                                    ,284100 ,4389345000 ,0.37%
92,4021,日産化学　　　　　　　　　　　　　　　　,NISSAN CHEMICAL CORPORATION                                                     ,154100 ,1231875400 ,0.10%
93,4042,東ソー　　　　　　　　　　　　　　　　　,TOSOH CORPORATION                                                               ,446000 ,1200855000 ,0.10%
94,4062,イビデン　　　　　　　　　　　　　　　　,"IBIDEN CO.,LTD.                                                                 ",389100 ,7673052000 ,0.65%
95,4063,信越化学工業　　　　　　　　　　　　　　,"SHIN-ETSU CHEMICAL CO.,LTD.                                                     ",2436100 ,14273109900 ,1.21%
96,4091,日本酸素ホールディングス　　　　　　　　,NIPPON SANSO HOLDINGS CORPORATION                                               ,346600 ,1940960000 ,0.16%
97,4151,協和キリン　　　　　　　　　　　　　　　,"KYOWA KIRIN CO.,LTD.                                                            ",360600 ,876258000 ,0.07%
98,417A,ブルーゾーンホールディングス　　　　　　,"BLUE ZONES HOLDINGS CO.,LTD.                                                    ",191600 ,360687000 ,0.03%
99,4183,三井化学　　　　　　　　　　　　　　　　,"MITSUI CHEMICALS,INC.                                                           ",551100 ,1271663250 ,0.11%
100,4186,東京応化工業　　　　　　　　　　　　　　,"TOKYO OHKA KOGYO CO.,LTD.                                                       ",146100 ,1189107900 ,0.10%
