1597,ＭＡＸＩＳ Ｊリート上場投信,,,,,三菱 UFJ アセットマネジメント株式会社
,（MAXIS J-REIT ETF）,,,,,"Mitsubishi UFJ Asset Management Co., Ltd."
,,,,,,
Net Asset / JPY,純資産総額／日本円（Net Asset / JPY),233943812116 ,,Date,基準日：,2026/09/03
Common Stocks*,株式組入比率(Common Stocks)*,96.40%,,,,
Future contracts*,先物組入比率(Future contracts)*,3.60%,,,,
Option*,オプション組入比率(Option)*,0.00%,,,,
Bonds*,債券組入比率(Bonds)*,0.00%,,,,
Cash,Cash比率,3.60%,,,,
Number of Holdings,保有銘柄数（Number of Holdings),59 ,,,,
*% of net asset,  * : 対純資産総額比（% of net asset）,,,,,
,,,,,,
保有銘柄（Holdings Detail),Holdings Detail,,,,,
No,銘柄コード(code),銘柄名,銘柄名(英語),株数,評価額,純資産比率
,code,name(Jp),Name(En),Shares Held,Market Value/Jpy,(% of net asset)
34,401A  ,霞ヶ関ホテルリート投資法人　　　　　　　　　　　　　　　　　,KASUMIGASEKI HOTEL REIT INVESTMENT CORPORATION                                  ,2691 ,257528700 ,0.11%
35,8951  ,日本ビルファンド投資法人　　　　　　　　　　　　　　　　　　,NIPPON BUILDING FUND INC.                                                       ,130714 ,16208536000 ,6.93%
36,8952  ,ジャパンリアルエステイト投資法人　　　　　　　　　　　　　　,JAPAN REAL ESTATE INVESTMENT CORPORATION                                        ,113689 ,13267506300 ,5.67%
37,8953  ,日本都市ファンド投資法人　　　　　　　　　　　　　　　　　　,JAPAN METROPOLITAN FUND INVESTMENT CORPORATION                                  ,112272 ,12641827200 ,5.40%
38,8954  ,オリックス不動産投資法人　　　　　　　　　　　　　　　　　　,ORIX JREIT INC.                                                                 ,86162 ,8418027400 ,3.60%
39,8955  ,日本プライムリアルティ投資法人　　　　　　　　　　　　　　　,JAPAN PRIME REALTY INVESTMENT CORPORATION                                       ,60030 ,5816907000 ,2.49%
40,8956  ,ＮＴＴ都市開発リート投資法人　　　　　　　　　　　　　　　　,NTT UD REIT INVESTMENT CORPORATION                                              ,21772 ,2799879200 ,1.20%
41,8957  ,東急リアル・エステート投資法人　　　　　　　　　　　　　　　,"TOKYU REIT, INC.                                                                ",12756 ,2347104000 ,1.00%
42,8958  ,グローバル・ワン不動産投資法人　　　　　　　　　　　　　　　,GLOBAL ONE REAL ESTATE INVESTMENT CORPORATION                                   ,17085 ,1901560500 ,0.81%
43,8960  ,ユナイテッド・アーバン投資法人　　　　　　　　　　　　　　　,UNITED URBAN INVESTMENT CORPORATION                                             ,47453 ,7564008200 ,3.23%
44,8961  ,森トラストリート投資法人　　　　　　　　　　　　　　　　　　,"MORI TRUST REIT,INC.                                                            ",41676 ,3000672000 ,1.28%
45,8963  ,インヴィンシブル投資法人　　　　　　　　　　　　　　　　　　,INVINCIBLE INVESTMENT CORPORATION                                               ,113386 ,6984577600 ,2.99%
46,8964  ,三井不動産商業ファンド投資法人　　　　　　　　　　　　　　　,MITSUI FUDOSAN RETAIL FUND INVESTMENT CORPORATION                               ,40112 ,3096646400 ,1.32%
47,8966  ,平和不動産リート投資法人　　　　　　　　　　　　　　　　　　,"HEIWA REAL ESTATE REIT,INC.                                                     ",17825 ,2345770000 ,1.00%
48,8967  ,日本ロジスティクスファンド投資法人　　　　　　　　　　　　　,"JAPAN LOGISTICS FUND,INC.                                                       ",42859 ,4050175500 ,1.73%
49,8968  ,福岡リート投資法人　　　　　　　　　　　　　　　　　　　　　,FUKUOKA REIT CORPORATION                                                        ,12206 ,2122623400 ,0.91%
