Ticker,Name,ISIN,Exchange,Currency,Region
BCI,BCI,CLP321331116,,CLP,CL
CENCOSUD,CENCOSUD,CL0000000100,,CLP,CL
COPEC,COPEC,CLP7847L1080,,CLP,CL
FALAB,FALAB,CLP3880F1085,,CLP,CL
MALLPLAZ,MALLPLAZ,CL0002456714,,CLP,CL
